"Familia";"Especie";"Habito";"Fenologia";"Luminosidade";"Substrato";"Longevidade";"Rebroto"
FABACEAE;Chamaecrista lavradioides;bush;;;terrestrial;unkown;unkown;
FABACEAE;Chamaecrista leucopilis;bush;;;terrestrial;unkown;unkown;
FABACEAE;Chamaecrista macedoi;bush;;;terrestrial;unkown;unkown;
FABACEAE;Chamaecrista ochrosperma;herb;;;;unkown;unkown;
FABACEAE;Chamaecrista pachyclada;bush;;heliophytic;saxicolous;unkown;unkown;
FABACEAE;Chamaecrista phyllostachya;bush;;;terrestrial;unkown;unkown;
FABACEAE;Chamaecrista pilicarpa;bush;;;;unkown;unkown;
FABACEAE;Chamaecrista polymorpha;bush;;;;unkown;unkown;
FABACEAE;Chamaecrista psoraleopsis;bush;;;;unkown;unkown;
FABACEAE;Chamaecrista simplifacta;bush;;;terrestrial;unkown;unkown;
FABACEAE;Chamaecrista vauthieri;bush;;;terrestrial;unkown;yes;
FABACEAE;Chamaecrista virginis;bush;;;terrestrial;unkown;unkown;
ASTERACEAE;Chrysolaena dusenii;subshrub;;heliophytic;terrestrial;unkown;unkown;
CACTACEAE;Cipocereus pleurocarpus;herb;;;;unkown;unkown;
POLYGONACEAE;Coccoloba cereifera;bush;;heliophytic;saxicolous;unkown;unkown;
ERIOCAULACEAE;Comanthera cipoensis;herb;;;;unkown;unkown;
ERIOCAULACEAE;Comanthera circinnata;herb;;;;unkown;unkown;
ERIOCAULACEAE;Comanthera curralensis;herb;;;;unkown;unkown;
ERIOCAULACEAE;Comanthera floccosa;herb;;;;unkown;unkown;
ERIOCAULACEAE;Comanthera hatschbachii;herb;;;;unkown;unkown;
MELASTOMATACEAE;Comolia edmundoi;bush;;;;unkown;unkown;
FABACEAE;Crotalaria goiasensis;bush;;;terrestrial;perennial;unkown;
FABACEAE;Crotalaria irwinii;bush;;;terrestrial;unkown;unkown;
FABACEAE;Crotalaria rufipila;bush;;heliophytic;terrestrial;unkown;yes;
EUPHORBIACEAE;Croton arlineae;bush;;;;unkown;unkown;
CYPERACEAE;Cryptangium humile;herb;;;;perennial;unkown;
CYPERACEAE;Cryptangium polyphyllum;herb;;;;perennial;unkown;
BROMELIACEAE;Cryptanthus leopoldo-horstii;herb;;;;unkown;unkown;
LYTHRACEAE;Cuphea anamariae;bush;;;;unkown;unkown;
LYTHRACEAE;Cuphea cunninghamiifolia;;;;;unkown;unkown;
LYTHRACEAE;Cuphea disperma;bush;;;;unkown;unkown;
LYTHRACEAE;Cuphea fuchsiifolia;bush;;;;unkown;unkown;
LYTHRACEAE;Cuphea glareosa;bush;;;;unkown;unkown;
LYTHRACEAE;Cuphea lucens;bush;;;;unkown;unkown;
LYTHRACEAE;Cuphea potamophila;bush;;;;unkown;unkown;
LYTHRACEAE;Cuphea sclerophylla;bush;;;;unkown;unkown;
LYTHRACEAE;Cuphea sincorana;bush;;;;unkown;unkown;
LYTHRACEAE;Cuphea warmingii;bush;;;;unkown;unkown;
LYTHRACEAE;Cuphea xanthopetala;bush;;;;;;
CYPERACEAE;Cyperus almensis;herb;;;;perennial;unkown;
ASTERACEAE;Dasyphyllum reticulatum;bush;;;;unkown;unkown;
ASTERACEAE;Dasyphyllum retinens;bush;;;;unkown;unkown;
ASTERACEAE;Dasyphyllum trichophyllum;bush;;;;unkown;unkown;
FABACEAE;Desmodium glabrescens;bush;;;;unkown;unkown;
FABACEAE;Desmodium juruenense;bush;;;;unkown;unkown;
POACEAE;Dichanthelium aequivaginatum;herb;;;;anual;unkown;
POACEAE;Dichanthelium assurgens;herb;;heliophytic;;perennial;unkown;
POACEAE;Dichanthelium congestum;herb;;;rupicolous;perennial;unkown;
POACEAE;Dichanthelium sendulskyii;herb;;;rupicolous;anual;unkown;
POACEAE;Digitaria chaseae;herb;;;;anual;unkown;
POACEAE;Digitaria pampinosa;herb;;;;anual;unkown;
RUBIACEAE;Diodia macrophylla;herb;;;;anual;unkown;
EBENACEAE;Diospyros mexiae;tree;;;;perennial;unkown;
LYTHRACEAE;Diplusodon adpressipilus;bush;;;;unkown;unkown;
LYTHRACEAE;Diplusodon alatus;bush;;;;;;
LYTHRACEAE;Diplusodon appendiculosus;bush;;;;;;
LYTHRACEAE;Diplusodon argenteus;herb;;;;unkown;unkown;
LYTHRACEAE;Diplusodon bradei;bush;;;;unkown;unkown;
LYTHRACEAE;Diplusodon canastrensis;bush;;;;;;
LYTHRACEAE;Diplusodon capitalensis;bush;;;;;;
LYTHRACEAE;Diplusodon capitatus;bush;;;;;;
LYTHRACEAE;Diplusodon chapadensis;bush;;;;;;
LYTHRACEAE;Diplusodon decussatus;bush;;;;;;
LYTHRACEAE;Diplusodon floribundus;bush;;;;unkown;unkown;
LYTHRACEAE;Diplusodon glocimarii;bush;;;;;;
LYTHRACEAE;Diplusodon grahamae;bush;;;;;;
LYTHRACEAE;Diplusodon heringeri;bush;;;;;;
LYTHRACEAE;Diplusodon leucocalycinus;bush;;;;;;
LYTHRACEAE;Diplusodon longipes;bush;;;;;;
LYTHRACEAE;Diplusodon mattogrossensis;bush;;;;;;
LYTHRACEAE;Diplusodon mononeuros;bush;;;;unkown;unkown;
LYTHRACEAE;Diplusodon nigricans;bush;;;;unkown;unkown;
LYTHRACEAE;Diplusodon parvifolius;bush;;;;unkown;unkown;
LYTHRACEAE;Diplusodon petiolatus;bush;;;;unkown;unkown;
LYTHRACEAE;Diplusodon plumbeus;bush;;;;unkown;unkown;
LYTHRACEAE;Diplusodon pygmaeus;bush;;;;unkown;unkown;
LYTHRACEAE;Diplusodon rosmarinifolius;bush;;;;unkown;unkown;
LYTHRACEAE;Diplusodon rotundifolius;bush;;;;unkown;unkown;
LYTHRACEAE;Diplusodon rupestris;bush;;;;unkown;unkown;
LYTHRACEAE;Diplusodon saxatilis;bush;;;;unkown;unkown;
LYTHRACEAE;Diplusodon sigillatus;bush;;;;unkown;unkown;
LYTHRACEAE;Diplusodon sordidus;bush;;;;unkown;unkown;
LYTHRACEAE;Diplusodon thysanosepalus;bush;;;;unkown;unkown;
LYTHRACEAE;Diplusodon trigintus;bush;;;;unkown;unkown;
APOCYNACEAE;Ditassa emmerichii;bush;;;;unkown;unkown;
APOCYNACEAE;Ditassa insignis;liana;;;;unkown;unkown;
APOCYNACEAE;Ditassa obscura;liana;;;;unkown;unkown;
MORACEAE;Dorstenia contensis;herb;;;;unkown;unkown;
MORACEAE;Dorstenia strangii;herb;;;;unkown;unkown;
ANNONACEAE;Duguetia rotundifolia;bush;;;;unkown;unkown;
ORCHIDACEAE;Dungsia marcaliana;herb;;;;unkown;unkown;
BROMELIACEAE;Dyckia argentea;herb;;;rupicolous;unkown;unkown;
BROMELIACEAE;Dyckia brachyphylla;herb;;;rupicolous;unkown;unkown;
BROMELIACEAE;Dyckia bracteata;herb;;;rupicolous;unkown;unkown;
BROMELIACEAE;Dyckia densiflora;herb;;;rupicolous;unkown;unkown;
BROMELIACEAE;Dyckia elongata;herb;;;;;;
BROMELIACEAE;Dyckia mello-barretoi;herb;;;rupicolous;unkown;unkown;
BROMELIACEAE;Dyckia pectinata;herb;;;rupicolous;unkown;unkown;
ALISMATACEAE;Echinodorus lanceolatus;herb;;;;;;
CYPERACEAE;Eleocharis loefgreniana;herb;;;;perennial;yes;
CYPERACEAE;Eleocharis morroi;herb;;;;anual;unkown;
CYPERACEAE;Eleocharis olivaceonux;herb;;;;perennial;yes;
BROMELIACEAE;Encholirium reflexum;herb;;;rupicolous;unkown;unkown;
ASTERACEAE;Eremanthus pabstii;bush;;;;unkown;unkown;
ERIOCAULACEAE;Eriocaulon aquatile;herb;;;;unkown;unkown;
ERIOCAULACEAE;Eriocaulon burchellii;herb;;;;unkown;unkown;
ERIOCAULACEAE;Eriocaulon cipoense;herb;;;;unkown;unkown;
ERIOCAULACEAE;Eriocaulon griseum;herb;;;;anual;unkown;
ERIOCAULACEAE;Eriocaulon papillosum;herb;;;;;;
LAMIACEAE;Eriope angustifolia;bush;;;;perennial;unkown;
LAMIACEAE;Eriope confusa;bush;;;;unkown;unkown;
LAMIACEAE;Eriope filifolia;bush;;;;unkown;unkown;
LAMIACEAE;Eriope montana;bush;;;;unkown;unkown;
LAMIACEAE;Eriope sincorana;bush;;;;unkown;unkown;
LAMIACEAE;Eriope xavantium;bush;;;;unkown;;
OROBANCHACEAE;Esterhazya nanuzae;bush;;;;unkown;unkown;
CONVOLVULACEAE;Evolvulus chapadensis;bush;;;;unkown;unkown;
CONVOLVULACEAE;Evolvulus gnaphalioides;bush;;;;unkown;unkown;
MORACEAE;Ficus carautana;tree;;;;unkown;unkown;
RUBIACEAE;Galianthe macedoi;;;;;anual;unkown;
RUBIACEAE;Galianthe matogrossiana;;;;;unkown;unkown;
AMARANTHACEAE;Gomphrena hermogenesii;herb;;;;unkown;yes;
AMARANTHACEAE;Gomphrena hillii;bush;;;;unkown;yes;
AMARANTHACEAE;Gomphrena marginata;herb;;;;unkown;yes;
POACEAE;Guadua magna;tree;;;;unkown;unkown;
ORCHIDACEAE;Habenaria meeana;herb;;;;unkown;unkown;
ORCHIDACEAE;Habenaria pseudohamata;herb;;;;unkown;unkown;
ORCHIDACEAE;Hadrolaelia praestans;herb;;;;unkown;unkown;
CHRYSOBALANACEAE;Hirtella juruensis;tree;;;;;;
ORCHIDACEAE;Hoffmannseggella pendula;herb;;;;unkown;unkown;
ORCHIDACEAE;Hoffmannseggella pfisteri;herb;;;;unkown;unkown;
LAMIACEAE;Hypenia concinna;bush;;;;unkown;unkown;
LAMIACEAE;Hypenia paradisi;bush;;;;unkown;unkown;
LAMIACEAE;Hyptidendron dictiocalyx;bush;;;;unkown;unkown;
LAMIACEAE;Hyptis argyrophylla;bush;;;;unkown;unkown;
LAMIACEAE;Hyptis asteroides;herb;;;;unkown;unkown;
LAMIACEAE;Hyptis caduca;herb;;;;anual;unkown;
LAMIACEAE;Hyptis coriacea;bush;;;;unkown;unkown;
LAMIACEAE;Hyptis cuniloides;bush;;;;;;
LAMIACEAE;Hyptis dictyodea;bush;;;;unkown;unkown;
LAMIACEAE;Hyptis hagei;bush;;;;unkown;unkown;
LAMIACEAE;Hyptis halimifolia;bush;;;;unkown;unkown;
LAMIACEAE;Hyptis heterophylla;bush;;;;unkown;unkown;
LAMIACEAE;Hyptis humilis;herb;;;;unkown;unkown;
LAMIACEAE;Hyptis irwinii;bush;;;;unkown;unkown;
LAMIACEAE;Hyptis loeseneriana;herb;;;;perennial;unkown;
LAMIACEAE;Hyptis nivea;bush;;;;unkown;unkown;
LAMIACEAE;Hyptis nubicola;bush;;;;unkown;unkown;
LAMIACEAE;Hyptis silvinae;bush;;;;unkown;unkown;
LAMIACEAE;Hyptis tenuifolia;bush;;;;unkown;unkown;
ASTERACEAE;Ichthyothere mattogrossensis;herb;;;;unkown;unkown;
ASTERACEAE;Ichthyothere petiolata;herb;;;;unkown;unkown;
AQUIFOLIACEAE;Ilex mucugensis;bush;;;;unkown;unkown;
CONVOLVULACEAE;Ipomoea calyptrata;liana;;;;unkown;unkown;
BIGNONIACEAE;Jacaranda racemosa;bush;;;;unkown;unkown;
MALPIGHIACEAE;Janusia christianeae;bush;;;;;;
ACANTHACEAE;Justicia clivalis;bush;perenifolia;;;unkown;unkown;
CALOPHYLLACEAE;Kielmeyera anisosepala;bush;;;;unkown;unkown;
CALOPHYLLACEAE;Kielmeyera juruensis;bush;;;;unkown;unkown;
CALOPHYLLACEAE;Kielmeyera similis;bush;;;;unkown;unkown;
CALOPHYLLACEAE;Kielmeyera trichophora;bush;;;;unkown;yes;
CYPERACEAE;Lagenocarpus adamantinus;herb;;;;perennial;unkown;
CUNONIACEAE;Lamanonia brasiliensis;tree;;;;unkown;unkown;
VERBENACEAE;Lantana gracilis;bush;;;;;;
BROMELIACEAE;Lapanthus itambensis;herb;;;rupicolous;unkown;unkown;
MELASTOMATACEAE;Lavoisiera adamantium;bush;;heliophytic;rupicolous;unkown;unkown;
MELASTOMATACEAE;Lavoisiera angustifolia;bush;;heliophytic;rupicolous;unkown;unkown;
MELASTOMATACEAE;Lavoisiera bradeana;bush;;heliophytic;rupicolous;unkown;unkown;
MELASTOMATACEAE;Lavoisiera caryophyllea;herb;;heliophytic;saxicolous;unkown;unkown;
MELASTOMATACEAE;Lavoisiera firmula;bush;;heliophytic;saxicolous;unkown;unkown;
MELASTOMATACEAE;Lavoisiera harleyi;bush;;heliophytic;saxicolous;unkown;unkown;
MELASTOMATACEAE;Lavoisiera humilis;herb;;heliophytic;saxicolous;unkown;unkown;
MELASTOMATACEAE;Lavoisiera macrocarpa;bush;;heliophytic;saxicolous;unkown;yes;
MELASTOMATACEAE;Lavoisiera mucorifera;bush;;heliophytic;saxicolous;unkown;unkown;
MELASTOMATACEAE;Lavoisiera punctata;bush;;heliophytic;saxicolous;unkown;unkown;
MELASTOMATACEAE;Lavoisiera senaei;bush;;heliophytic;saxicolous;unkown;unkown;
MELASTOMATACEAE;Lavoisiera subulata;bush;;heliophytic;saxicolous;unkown;unkown;
MELASTOMATACEAE;Lavoisiera tetragona;herb;;heliophytic;saxicolous;unkown;unkown;
ERIOCAULACEAE;Leiothrix cipoensis;herb;;;;unkown;unkown;
ERIOCAULACEAE;Leiothrix crassifolia;herb;;;;unkown;unkown;
ERIOCAULACEAE;Leiothrix distichoclada;herb;;;;unkown;unkown;
ERIOCAULACEAE;Leiothrix fulgida var. milho-verdensis;herb;;;;;;
ERIOCAULACEAE;Leiothrix luxurians;herb;;;;unkown;unkown;
ERIOCAULACEAE;Leiothrix rupestris;herb;;;;unkown;unkown;
ERIOCAULACEAE;Leiothrix sclerophylla;herb;;;;unkown;unkown;
ERIOCAULACEAE;Leiothrix sinuosa;herb;;;;unkown;unkown;
ERIOCAULACEAE;Leiothrix spiralis;herb;;;;unkown;unkown;
ORCHIDACEAE;Leptotes vellozicola;herb;;;;unkown;unkown;
ASTERACEAE;Lessingianthus arachniolepis;bush;;;;unkown;unkown;
ASTERACEAE;Lessingianthus argenteus;herb;;;;unkown;unkown;
ASTERACEAE;Lessingianthus caiapoensis;herb;;;;unkown;unkown;
ASTERACEAE;Lessingianthus heringeri;bush;;;;unkown;unkown;
ASTERACEAE;Lessingianthus rugulosus;bush;;;terrestrial;;;
ASTERACEAE;Lessingianthus scaposus;herb;;;terrestrial;;;
CHRYSOBALANACEAE;Licania maguirei;tree;;;;unkown;unkown;
VERBENACEAE;Lippia ciliata;;;;;;;
VERBENACEAE;Lippia diamantinensis;bush;;;;;;
VERBENACEAE;Lippia duartei;bush;;;;unkown;unkown;
VERBENACEAE;Lippia gardneriana;bush;;;;unkown;unkown;
VERBENACEAE;Lippia grandiflora;bush;;;;unkown;unkown;
VERBENACEAE;Lippia macedoi;bush;;;;unkown;unkown;
VERBENACEAE;Lippia rubella;bush;;;;unkown;unkown;
CAMPANULACEAE;Lobelia brasiliensis;herb;;;;unkown;unkown;
BALANOPHORACEAE;Lophophytum rizzoi;herb;;;;perennial;no;
BIGNONIACEAE;Lundia damazii;liana;;;;unkown;unkown;
OCHNACEAE;Luxemburgia ciliatibracteata;bush;;heliophytic;saxicolous;perennial;unkown;
OCHNACEAE;Luxemburgia damazioana;bush;;;;perennial;unkown;
OCHNACEAE;Luxemburgia diciliata;bush;;;;perennial;unkown;
OCHNACEAE;Luxemburgia hatschbachiana;bush;;;;perennial;unkown;
OCHNACEAE;Luxemburgia speciosa;bush;;;;perennial;unkown;
MONIMIACEAE;Macropeplus schwackeanus;tree;;;;unkown;unkown;
APOCYNACEAE;Mandevilla rubra;liana;;;;unkown;unkown;
APOCYNACEAE;Mandevilla semirii;liana;;;;unkown;unkown;
APOCYNACEAE;Marsdenia neomanarae;bush;;;;unkown;unkown;
APOCYNACEAE;Marsdenia sessilifolia;bush;;;;unkown;unkown;
APOCYNACEAE;Marsdenia virgultorum;bush;;;;unkown;unkown;
MALPIGHIACEAE;Mascagnia aptera;bush;;;;;;
APOCYNACEAE;Matelea matogrossensis;liana;;;;unkown;unkown;
APOCYNACEAE;Matelea refracta;bush;;;;unkown;unkown;
CELASTRACEAE;Maytenus opaca;bush;;;;unkown;yes;
POACEAE;Mesosetum alatum;herb;;;;perennial;unkown;
POACEAE;Mesosetum longiaristatum;herb;;;rupicolous;anual;yes;
MELASTOMATACEAE;Microlicia balsamifera;bush;;heliophytic;saxicolous;unkown;unkown;
MELASTOMATACEAE;Microlicia cipoana;herb;;heliophytic;saxicolous;unkown;unkown;
MELASTOMATACEAE;Microlicia crebropunctata;herb;;heliophytic;saxicolous;unkown;unkown;
MELASTOMATACEAE;Microlicia giuliettiana;bush;;heliophytic;saxicolous;unkown;unkown;
MELASTOMATACEAE;Microlicia minima;bush;;heliophytic;saxicolous;unkown;unkown;
MELASTOMATACEAE;Microlicia monticola;bush;;heliophytic;saxicolous;unkown;unkown;
MELASTOMATACEAE;Microlicia mucugensis;bush;;heliophytic;saxicolous;unkown;unkown;
MELASTOMATACEAE;Microlicia noblickii;bush;;heliophytic;saxicolous;unkown;unkown;
MELASTOMATACEAE;Microlicia oligochaeta;bush;;heliophytic;saxicolous;unkown;unkown;
MELASTOMATACEAE;Microlicia ordinata;bush;;;;unkown;unkown;
MELASTOMATACEAE;Microlicia petasensis;bush;;heliophytic;saxicolous;unkown;unkown;
MELASTOMATACEAE;Microlicia pinheiroi;bush;;heliophytic;saxicolous;unkown;unkown;
MELASTOMATACEAE;Microlicia scoparia;herb;;heliophytic;saxicolous;unkown;unkown;
MELASTOMATACEAE;Microlicia sincorensis;bush;;heliophytic;saxicolous;unkown;unkown;
MELASTOMATACEAE;Microlicia subaequalis;bush;;heliophytic;saxicolous;unkown;unkown;
MELASTOMATACEAE;Microlicia subalata;bush;;heliophytic;saxicolous;unkown;unkown;
MELASTOMATACEAE;Microlicia suborbicularifolia;bush;;heliophytic;saxicolous;unkown;unkown;
MELASTOMATACEAE;Microlicia tenuifolia;herb;;heliophytic;saxicolous;unkown;unkown;
MELASTOMATACEAE;Microlicia trichocalycina;herb;;heliophytic;;unkown;unkown;
MELASTOMATACEAE;Microlicia vernicosa;bush;;heliophytic;;unkown;unkown;
FABACEAE;Mimosa cryptothamnos;bush;;;;unkown;unkown;
FABACEAE;Mimosa cyclophylla;bush;;;;unkown;unkown;
FABACEAE;Mimosa decorticans;tree;;heliophytic;;unkown;yes;
FABACEAE;Mimosa humivagans;bush;;;;unkown;unkown;
FABACEAE;Mimosa laniceps;bush;;heliophytic;;unkown;unkown;
FABACEAE;Mimosa lepidophora;bush;;;;unkown;unkown;
