family,scientificNameWithoutAuthorship,scientificNameAuthorship,assessment,category,criteria,assessor,evaluator,rationale
Verbenaceae,"Lippia rubella","(Moldenke) T.R.S.Silva & Salimena",comments,EN,"B2ab(i,ii,iii)","Lucas Moraes","Luiz Santos","Endêmica do estado de Minas Gerais (Salimena et al., 2013), onde ocorre no município de Diamantina na Serra do Rio Grande e no sul do estado. Restrita ao Cerrado, desenvolve-se nos vales úmidos do Planalto de Diamantina (Salimena et al., 2009). Apresenta AOO estimada em 24 km², e está sujeita a menos de cinco situações de ameaça considerando suas localidades de ocorrência. A área de distribuição da espécie encontra-se em um estado alarmante de degradação ambiental causada pela agricultura (Fernandes et al., 2005) e pela atividade extrativista (Landgraf & Paiva, 2009), somada à supressão da vegetação nativa (Azevedo & Araújo, 2011), que resultam em um declínio contínuo da EOO, AOO e qualidade do hábitat da espécie. Iniciativas de controle e monitoramento das ameaças incidentes são necessárias, bem como a elaboração de planos de ação a fim de evitar que o táxon figure em uma categoria de risco de maior preocupação em um futuro próximo."
Araliaceae,"Schefflera lucumoides","(Decne. & Planch. ex Marchal) Frodin & Fiaschi",comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)","Rodrigo Amaro","Luiz Santos","Espécie arbustiva de ocorrência restrita ao Cerrado, onde se desenvolve em Campos Rupestres e Cangas hematíticas (Fiaschi & Pirani, 2008; 2013). Endêmica do estado de Minas Gerais (Fiaschi, 2013), encontra-se restrita a uma serra da Cadeia do Espinhaço, tendo distribuição naturalmente fragmentada nos topos de serra da região, entre 1.200 m e 1.400 m de altitude (Fiaschi & Pirani, 2008). Possui EOO menor que 5.000 km², AOO inferior a 500 km² e está sujeita a menos de cinco situações de ameaça considerando as localidades de coleta. Suspeita-se que a espécie sofra com a perda da qualidade do hábitat e o declínio contínuo da EOO e AOO, em consequência de sua ocorrência em regiões do Quadrilátero Ferrífero (Fiaschi & Pirani, 2008), onde há atividades intensas de mineração (Carmo, 2010). A invasão de espécies exóticas e o desenvolvimento da infraestrutura de transporte (estradas e malha ferroviária) também são ameaças existentes na região (Carmo, 2010). Caso as ameaças incidentes não sejam controladas, é possível a elevação do risco de extinção da espécie em um futuro próximo. São necessários, portanto, novos estudos sobre o táxon, além do aumento do esforço amostral. É essencial a criação de Unidades de Conservação na região de distribuição da espécie face ao seu padrão de distribuição pontual e especificidade de hábitat."
ERIOCAULACEAE,"Comanthera pignalii",Echtern.,comments,CR,"B2ab(i,ii,iii,iv)",Raquel,"Luiz Santos","Caracterizada como erva perene, a espécie endêmica do estado da Bahia ocorre exclusivamente na borda da ""Serra Geral"", no município de Jacaraci, onde há apenas uma subpopulação conhecida. É restrita aos Campos Rupestres na transição entre Cerrado e Caatinga, sendo encontrada em localidade próxima a área urbana, em ambiente de areia branca entre vegetação herbácea a arbustiva, com solos bem drenados derivados de formações de arenito. Apresenta AOO de 4 km² e está sujeita a uma situação de ameaça considerando a localidade de ocorrência. A expansão urbana, a atividade mineradora baseada na extração de areia nas proximidades da localidade de ocorrência (há menos de 200 m de distância) e atividades recreativas nessa localidade representam ameaças a espécie que implicam em declínio contínuo de EOO, AOO, de qualidade de habitat e do número de subpopulações. Estima-se que em um futuro próximo as ameaças incidentes poderão ocasionar a supressão da vegetação nativa na área. Considerando a raridade dos ecossistemas caracterizados como habitats específicos da espécie, o baixo número de registros e a ausência de área protegida na região, recomenda-se investimento em planos de ação para conservação da espécie na natureza e dos seus habitats potenciais. Também, são necessários investimentos em expedições de campo e em pesquisa para a busca de novos registros e ampliação do conhecimento sobre sua biologia, ecologia e distribuição geográfica"
Fabaceae,"Albizia robsonii","V. Maioli e H.C. de Lima",open,EN,"B2ab(i,ii,iii,iv,v);E","Raquel Negrão",,"Espécie nova é caracterizada como uma árvore de porte pequeno, heliófila, com caracteres foliares semelhantes às demais espécies do gênero (Maioli-Azevedo & Lima, 2014). Endêmica da região Sudeste, ocorre no estado do Rio de Janeiro nos municípios de Quissamã (Maioli-Azevedo & Senna-Valle, 2011) e no município de Carapebus na área do PARNA Jurubatiba (RB421163), no estado de Minas Gerais, no município de Aimorés (RB442189) e no estado do Espirito Santo, no município de Colatina (RB547155). As ocorrências pontuais da espécie nessas localidades estão associadas a habitats de Restingas arbustivo-arbóreas e de Matas de Restinga com transição para Florestas Estacionais Semideciduais relacionadas ao domínio fitogeográfico da Mata Atlântica, sempre em solo arenoso e solo arenoso de transição para argissolos e latossolos. Apesar da grande EOO (8.047 km²), apresenta pequena AOO estimada em 16 km² e está sujeita a apenas quatro situações de ameaça considerando as localidades de ocorrência. Atualmente, são conhecidas quatro subpopulações com número máximo de 20 indivíduos. Estima-se uma redução de 25% da população em 10 anos, considerando a observação direta da queima de 3 indivíduos de uma das subpopulações com 15 indivíduos (Maioli-Azevedo, 2008), representando uma redução de 20% em um período de 2 anos, em detrimento da conversão de florestas e uso de fogo pela indústria canavieira no município fluminense de Quissamã. A intensa fragmentação das Florestas Estacionais e Restingas pelo processo de desmatamento durante a colonização e, mais recentemente, (1960-1980) pela agricultura, industrialização (Silva & Nascimento, 2001), especulação imobiliária e expansão urbana (Fonseca-Kruel & Peixoto, 2004), resulta em conversão, degradação de áreas florestadas em áreas de plantio e efeito de borda no fragmento, representando ameaças de alta severidade à espécie. As ameaças incidentes implicam em declínio contínuo de EOO, AOO, de qualidade de habitat, número de subpopulações e de indivíduos maduros. Considerando a existência de apenas um registro de ocorrência em Unidade de Conservação e relatos de uso da madeira da espécie para combustível e construção (Maioli-Azevedo, 2008; Maioli-Azevedo & Senna-Valle, 2011), são necessários investimentos em planos de ação para sua conservação in situ e ex situ.

"
ERIOCAULACEAE,"Syngonanthus incurvifolius",M.T.C.Watan.,comments,CR,"A2ac;B2ab(i,ii,iii)",Raquel,"Luiz Santos Filho","Espécie herbácea recentemente descrita, terrestre, heliófila, perene e com crescimento clonal. Ocorre no estado de Goiás, sendo endêmica da Chapada dos Veadeiros e limitada a uma faixa de aproximadamente 10 km lineares ao longo da rodovia GO-12, ao sul do município de Alto Paraíso de Goiás (Watanabe et al., submetido). Restrita aos Campos Rupestres quartzíticos, em áreas do domínio fitogeográfico do Cerrado, especificamente em Campos Limpos arenosos, sobre solo úmido e, eventualmente, sob afloramentos (Watanabe et al., submetido). A espécie é conhecida apenas por registros antigos, datados nas décadas de 1950 a 1990, tendo sido considerada localmente abundante (L.R.M. King & L.E. Bishop; 8900). Porém, apesar de buscas recentes nas localidades, a espécie não é encontrada há mais de 10 anos, o que justifica o rápido declínio populacional estimado com base em causas não cessadas e não reversíveis. Apresenta AOO de 8 km² e está sujeita a apenas uma situação de ameaça considerando a proximidade das localidades de ocorrência na região. A estrada, próxima a população conhecida e o aumento de frequência de incêndios nessas áreas representam ameaças a espécie. Além disso, a conversão dos seus habitats em área urbana é estimada em vista da proximidade do município de Alto Paraíso, representando também uma ameaça potencial em futuro próximo. Assim, as ameaças incidentes implicam declínio contínuo de EOO, AOO e qualidade de habitat. Considerando que a espécie ocorre fora de Unidades de Conservação, porém em áreas próximas aos limites do Parque Nacional da Chapada dos Veadeiros (PNCV), recomenda-se investimentos no desenvolvimento de planos de ação para sua conservação in situ e ex situ, paralelamente a busca de novas subpopulações dentro dos limites da área protegida, envolvendo também ações com o objetivo de informar gestores e sensibilizar as comunidades locais sobre esta espécie ameaçada e endêmica da região."
ERIOCAULACEAE,"Syngonanthus vittatus",M.T.C.Watan,comments,EN,"B2ab(i,ii,iii)",Raquel,"Luiz Santos Filho","Espécie recentemente coletada e descrita, sendo caracterizada como erva terrestre, heliófila, perene e de crescimento clonal (Watanabe et al., submetido). Ocorre no estado de Goiás, sendo considerada endêmica da Chapada dos Veadeiros e conhecida por duas subpopulações distantes em aproximadamente 10 km, nas localidades da fazenda Água Fria e na Cachoeira São Bento (Watanabe et al. submetido). Apresenta ocorrência restrita ao Cerrado, em áreas de Campo Úmido e Campo Limpo próximos à Florestas de galeria e Veredas, ocorrendo em solos hidromórficos bem drenados na estação seca e que se tornam encharcados na estação úmida (Watanabe et al., submetido). Apresenta AOO de 12km² e está sujeita a três situações de ameaças, considerando as localidades de ocorrência e sua especificidade de habitat. A pecuária e o turismo representam ameaças locais e observadas para a espécie (Watanabe, com. pess.), que implicam em declínio contínuo de AOO, EOO e de qualidade de habitat. Visto que a espécie ocorre fora de Unidades de Conservação, porém em áreas próximas aos limites do Parque Nacional da Chapada dos Veadeiros (PNCV), recomenda-se a busca de novas subpopulações em habitats potenciais dentro dos limites da área protegida. Além disso, são necessários investimentos no desenvolvimento de planos de ação para sua conservação in situ e ex situ, envolvendo, paralelamente, ações com o objetivo de informar gestores e sensibilizar as comunidades locais em relação a proteção dos habitats desta espécie ameaçada e endêmica da região."
ACANTHACEAE,"Justicia clivalis",Wassh.,comments,NT,,"Laila Araujo","Luiz Santos","Espécie subarbustiva ou arbustiva, de ocorrência no Distrito Federal, e estados de Goiás (Profice et al., 2013) e Minas Gerais (Wasshausen, 1989). Restrita ao Cerrado (Profice et al., 2013) onde se desenvolve em regiões de afloramentos de calcário (CNCFlora, 2013) e matas de galeria (Profice et al., 2013), em altitudes entre 750 m e 950 m (Wasshausen, 1989). As principais ameaças incidentes na área de ocorrência da espécie são o massivo crescimento urbano e as atividades mineradoras (Moura et al., 2007; Santos et al., 2010), que caso não sejam cessadas ou controladas poderão contribuir para que a espécie se torne ameaçada de extinção."
ACANTHACEAE,"Poikilacanthus bahiensis","(Nees) Wassh.",comments,NT,,"Laila Araujo","Tainan Messina","Espécie endêmica do estado da Bahia (Profice et al., 2013). Apresenta EOO superior a 20.000 km² e AOO inferior a 500 km². Está sujeita a mais de 10 situações de ameaça considerando suas localidades de ocorrência. A área de distribuição da espécie está sujeita ao processo de desertificação (Brito et al., 2002), as constantes queimadas (Conceição & Neves, 2010), atividades mineradoras (Spinola, 2005) e ao turismo desordenado estabelecido particularmente na região da Chapada Diamantina (Spinola, 2005; Juncá et al., 2005). A espécie apresenta subpopulações em duas Unidades de Conservação, Parque Nacional da Chapada Diamantina e Parque Estadual do Morro do Chapéu, sendo também coletada em áreas alteradas e em beira de estrada (CNCFlora, 2013). Caso as ameaças incidentes à área de ocorrência da espécie não sejam cessadas ou controladas, poderá em um futuro próximo configurar em alguma categoria de ameaça."
ACANTHACEAE,"Staurogyne minarum","(Nees) Kuntze",comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)","Laila Araujo","Tainan Messina","Endêmica do estado de Minas Gerais (Braz, 2005; Profice et al., 2013), foi coletada nos municípios de Catas Altas (RPPN Santuário do Caraça) e Nova Lima (Reserva Biológica do Jambreiro) (Kameyama, 2009), bem como em Santa Bárbara e Conceição do Mato Dentro (Serra do Cipó) (CNCFlora, 2013), acima de 700 m de altitude (Braz, 2005). Apresenta EOO de 3.144 km² e AOO de 32 km² e está sujeita a quatro situações de ameaça considerando seus municípios de ocorrência. Sua área de distribuição sofre com o constante declínio da EOO, AOO e qualidade do hábitat em decorrência, principalmente, das atividades mineradoras (Santos, 2010; MMA/ICMBio, 2013) e carvoeira (MMA/ICMBio, 2013). O turismo desordenado (Machado, 2008) e a invasão de espécies exóticas (MMA/ICMBio, 2013) também configuram importantes ameaças à região de ocorrência da espécie."
ACANTHACEAE,"Stenandrium goiasense",Wassh.,comments,DD,,"Laila Araujo","Tainan Messina","Espécie endêmica do estado de Goiás (Profice et al., 2013), restrita ao município de Alvorada do Norte (Kameyama et al., 2009), conhecida apenas pela localidade tipo (Wasshausen, 1990). Dados acerca de sua biologia e ecologia são escassos, o que explicita a necessidade de investimentos em pesquisa para melhor compreensão da espécie, possibilitando assim o conhecimento do real estado de conservação do táxon na natureza."
ACANTHACEAE,"Stenandrium irwinii",Wassh.,comments,EN,"B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)","Laila Araujo","Tainan Messina","Espécie endêmica do estado de Goiás (Profice et al., 2013), sendo coletada no município de Alto Paraíso (Chapada dos Veadeiros) a aproximadamente 1.200 m de altitude (CNCFlora, 2013). Apresenta EOO estimada em 192,6 km² e AOO de 12 km² e está sujeita a duas situações de ameaça considerando suas localidades de ocorrência. A área de ocorrência da espécie encontra-se sob o impacto do turismo desordenado (Barbosa, 2008), da expansão das atividades agropecuaristas (Diniz & Mesquita, 2004; Souza & Felfili, 2006; Silva, 2010) e consequente invasão de espécies exóticas (Ziller, 2013), do aumento do regime de incêndios (Fiedler et al., 2006) e de atividades mineradoras (Barbosa, 2008). Tais ameaças resultam em declínio contínuo da EOO, AOO, qualidade do hábitat e do número de indivíduos maduros."
ALISMATACEAE,"Echinodorus lanceolatus",Rataj,comments,LC,,"Lucas Moraes","Luiz Santos","Espécie conhecida popularmente como ""golfe"" ou ""língua-de-vaca"" (Matias, 2007). Apresenta ampla distribuição (EOO=2.252.057 km²), sendo encontrada nos estados da Bahia, Ceará, Paraíba, Pernambuco, Mato Grosso (Matias et al., 2013), São Paulo (Coelho, 2009), Minas Gerais, Mato Grosso do Sul, Tocantins e Maranhão (CNCFlora, 2013). Desenvolve-se em margens de rios perenes, estuários, lagoas costeiras e baixadas em áreas brejosas (Matias, 2007); também encontrada em lagoas temporárias no semiárido cearense (Matias & Souza, 2011)."
ALSTROEMERIACEAE,"Alstroemeria chapadensis",Hoehne,comments,EN,"B1ab(i,ii,iii)","Lucas Moraes","Luiz Santos","Espécie endêmica do estado do Mato Grosso (Assis, 2013), sendo restrita à região da Chapada dos Guimarães (Assis, 2009). Apresenta EOO estimada em 525,9 km² e está sujeita a duas situações de ameaça considerando a presença/ausência da espécie em Unidade de Conservação. Apesar de protegida pelo Parque Nacional da Chapada dos Guimarães, a área de distribuição da espécie está sujeita ao aumento da frequência de incêndios, devido ao manuseio do solo para implementação de atividades agrícolas e de pecuária (sobretudo pecuária extensiva e plantações de soja) (MMA/ICMBio, 2009), o que acarreta um declínio constante da EOO, AOO e da qualidade do hábitat. Dados de 1997 indicam que cerca de 15% da vegetação natural do município de Chapada dos Guimarães deram lugar a atividades agropastoris (MMA/ICMBio, 2009). A contenção das ameaças incidentes é necessária para que a espécie não configure em um grau de ameaça mais severo em um futuro próximo. Investimentos em pesquisas e esforços de coleta são essenciais para uma possível descoberta de novas subpopulações."
AMARANTHACEAE,"Gomphrena hermogenesii",J.C.Siqueira,comments,VU,B1ab(iii);D2,"Luiz Santos","Luiz Santos","Espécie de porte herbáceo ou subarbustivo (Siqueira, 1991), endêmica da flora brasileira (Marchioretto et al., 2014), ocorre nos estados de Goiás, no município de Alto Paraíso de Goiás (Chapada dos Veadeiros) (Senna & Siqueira, 2009; Marchioretto et al., 2014), e Bahia, no município de Morro do Chapéu (CNCFlora, 2013). Apresenta EOO de 8.307 km² e está sujeita a três situações de ameaça, considerando sua ocorrência no Parque Nacional da Chapada dos Veadeiros (GO) (Siqueira, 1991), na RPPN Cara Preta (GO) (CNCFlora, 2013) e em Morro do Chapéu (BA). É geralmente encontrada em estado vegetativo, sob as folhas de gramíneas e ciperáceas que predominam em antigas áreas de pastagens (Frank-de-Carvalho et al., 2010; 2012); desenvolve-se também em Campos Rupestres (Senna & Siqueira, 2009), Campos Limpos Úmidos, Campos Sujos, campos arenosos e áreas inundadas, em solo pedregoso-arenoso, entre aproximadamente 840 m e 1.500 m de altitude (CNCFlora, 2013). Apesar de ocorrer em Unidades de Conservação, está sob ameaça do aumento da frequência dos incêndios de origem antrópica, utilizados principalmente no manuseio do solo para implementação da agricultura e pecuária (Fiedler et al., 2006; Souza & Felfili, 2006). As ameaças que incidem sobre a região de ocorrência do táxon corroboram a perda da qualidade e extensão de seu hábitat. Medidas de controle e monitoramento das ameaças incidentes são necessárias a fim de garantir sua manutenção e viabilidade na natureza."
AMARANTHACEAE,"Gomphrena hillii",Suess.,comments,EN,"B2ab(i,ii,iii,iv)","Luiz Santos","Luiz Santos","Espécie de porte subarbustivo (Siqueira, 1991), endêmica da flora brasileira (Marchioretto et al., 2014). Ocorre nos estados de Tocantins (Marchioretto et al., 2014), Goiás e Bahia (CNCFlora, 2013). Apresenta AOO estimada em 24 km² e está sujeita a cinco situações de ameaça, considerando seus municípios de ocorrência: Paraíso do Norte de Goiás, Alto Paraíso de Goiás, Caetité (BA), Arraias (TO) e Gurupi (TO) (CNCFlora, 2013). Desenvolve-se em formações rupestres, cerradão de solo raso e afloramentos graníticos expostos ao sol, entre aproximadamente 280 m e 600 m de altitude (CNCFlora, 2013). A área de distribuição da espécie sofre com a intensa expansão da indústria e o consequente crescimento urbano, além da implementação de extensas áreas de monocultura destinadas à produção de biodiesel (IBGE, 2013), o que acarreta em um declínio contínuo da EOO, AOO e qualidade do hábitat. Medidas de contenção e monitoramento das ameaças incidentes são emergenciais a fim de evitar que o táxon figure em um grau de ameaça mais alarmante em um futuro próximo."
AMARANTHACEAE,"Gomphrena marginata",Seub.,comments,EN,"B1ab(i,iii,iv)+2ab(ii,iii,iv)","Luiz Santos","Luiz Santos","Espécie subarbustiva endêmica dos Campos Rupestres, preferencialmente em ambientes mais úmidos, do Planalto da Diamantina, estado de Minas Gerais (Siqueira, 1991; Senna & Siqueira, 2009; 2013), é encontrada nos municípios de Couto Magalhães, Diamantina (Siqueira, 1991; Senna & Siqueira, 2009; 2013), Datas, Gouveia e Itacambira (CNCFlora, 2013). Apresenta EOO de 2.715 km² e AOO estimada em 24 km² e está sujeita a cinco situações de ameaça, considerando seus municípios de ocorrência. A região de distribuição da espécie sofre com a intensa atividade mineradora, o ecoturismo, e o aumento da frequência de incêndios de origem antrópica, que em grande parte servem como ferramenta para o manuseio do solo visando a implementação de atividades agropecuárias, além da invasão de espécies exóticas (Spinola, 2005). Tais ameaças corroboram o declínio constante da EOO, AOO, qualidade do hábitat e de subpopulações. Medidas de contenção e monitoramento das ameaças incidentes são necessárias a fim de manter a viabilidade da espécie na natureza, e evitar que configure em uma categoria de risco mais preocupante em um futuro próximo."
ANNONACEAE,"Duguetia rotundifolia",R.E.Fr.,comments,DD,,"Luiz Santos","Luiz Santos","Espécie conhecida apenas pelo material-tipo oriundo do município de Dianápolis, no estado de Tocantins (Rodrigues 2009; Maas et al. 2001; 2013; Lobão com. pess.). Forzza et al. (2013) cita erroneamente sua ocorrência no estado de Goiás. Informações sobre a ecologia e biologia da espécie são escassas, havendo a necessidade de investimentos em pesquisa a fim de conhecer sua real distribuição geográfica e estado de conservação na natureza."
APOCYNACEAE,"Barjonia grazielae","Fontella & Marquete",comments,EN,"B1ab(i,ii,iii)","Rodrigo Amaro","Luiz Santos","Espécie endêmica do estado de Goiás, ocorre no município de Santo Antônio do Descoberto e no Distrito Federal. É encontrada em Campo Sujo Rupestre (CNCFlora, 2013; Koch et al., 2014) sobre cascalho (Rapini et al., 2009), em altitudes próximas a 1.000 m (CNCFlora, 2013). Apresenta EOO menor que 5.000 km² e está sujeita a menos de cinco situações de ameaça, considerando seus municípios de ocorrência. Suspeita-se que esteja sob a influência do contínuo declínio na qualidade do hábitat, na AOO e EOO, em decorrência do crescimento urbano que vem ocorrendo em Brasília e nas proximidades, sendo essa a principal ameaça para a espécie na região (Carvalho & Romero, 2013). Em consequência do pequeno número de registros botânicos em coleções científicas, novos estudos na região são necessários, a fim de aumentar o esforço de coleta e ampliar o atual estado de conhecimento do táxon."
