family,scientificName,document,field,reference
PRIMULACEAE,"Cybianthus barrosoanus",assessment,,"Freitas, M.F., Carrijo, T., 2014. Primulaceae. Catálogo das espécies plantas Vasc. e briófitas do Estado do Rio Janeiro. Rio Janeiro Inst. Pesqui. Jard. Botânico do Rio Janeiro. Disponível em: <http://florariojaneiro.jbrj.gov.br>. Acesso em: 30 mar. 2015."
MELASTOMATACEAE,"Leandra laxa",assessment,,"Baumgratz, J. F. A.; Souza, M. L. D. R.  2011. Melastomataceae na Reserva Ecológica de Macaé de Cima, Nova Friburgo, Rio de Janeiro, Brasil II - Leandra (Miconieae). Rodriguésia 62(3): 629-662."
MELASTOMATACEAE,"Leandra laxa",assessment,,"Baumgratz, J.F.A.; Santos Filho, L.A.F. & Silva-Gonçalves, K.C. 2014. Melastomataceae. Catálogo das espécies de plantas vasculares e briófitas do Estado do Rio de Janeiro. Rio de Janeiro: Instituto de Pesquisas Jardim Botânico do Rio de Janeiro. Disponível em: http://florariojaneiro.jbrj.gov.br."
MELASTOMATACEAE,"Leandra laxa",assessment,,"Mota, L.D.M., 2009. Produção agrícola, meio ambiente e saúde em áreas rurais de Nova Friburgo, RJ: conflitos e negociações. Fundação Oswaldo Cruz. Tese de Doutorado. 155 p."
MELASTOMATACEAE,"Leandra laxa",assessment,,"Mendes, S.P., 2010. Implantação da APA Macaé de Cima (RJ): um confronto entre a função social da priopriedade eo direito ao meio ambiente ecologicamente preservado. V Encontro Nac. da Anppas, Florianópolis, SC."
SOLANACEAE,"Capsicum friburgense",assessment,,"Barboza,G.E., Bianchetti, L., 2005.Three new species of Capsicum (Solanaceae) and a key to the wild species from Brazil. Syst. Bot. 30, 863–871."
BROMELIACEAE,"Neoregelia leucophoea",assessment,,"IBAMA, 2014. Ibama combate incêndio no Parque Nacional Serra dos Órgãos. Disponível em <http://www.ibama.gov.br/publicadas/ibama-combate-incendio-no-parque-nacional-serra-dos-orgaos>. ICMBio, 2014a. ICMBio e Ibama trabalham para conter incêndio na Serra dos Órgãos. Meio Ambiente. Disponível em < http://www.brasil.gov.br/meio-ambiente/2014/10/icmbio-e-ibama-trabalham-para-conter-incendio-na-serra-dos-orgaos>."
BROMELIACEAE,"Neoregelia leucophoea",assessment,,"Viana, F. M. de F., & Rocha, C. H. B. (2009). Impactos ambientais em unidades de conservação. Universidade Federal de Juiz de Fora."
BROMELIACEAE,"Neoregelia leucophoea",assessment,,"Mendes, S.P., 2010. Implantação da APA Macaé de Cima (RJ): um confronto entre a função social da priopriedade eo direito ao meio ambiente ecologicamente preservado. V Encontro Nac. da Anppas, Florianópolis, SC."
BROMELIACEAE,"Neoregelia leucophoea",assessment,,"Forzza, R.C.; Costa, A.; Siqueira Filho, J.A.; Martinelli, G.; Monteiro, R.F.; Santos-Silva, F.; Saraiva, D. P.; Paixão-Souza, B.; Louzada, R.B.; Versieux, L., 2015. Bromeliaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <http://reflora.jbrj.gov.br/jabot/floradobrasil/FB6132>. Acesso em: 13 Mar. 2015"
ANEMIACEAE,"Anemia candidoi",assessment,,"Mickel, J.; Barros, I.C.L.; Santiago, A.C.P.; Pereira, A.F. de N.; Labiak, P.H. 2015. Anemiaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <http://reflora.jbrj.gov.br/jabot/floradobrasil/FB90598>. Acesso em: 21 Abr. 2015"
PRIMULACEAE,"Cybianthus gracillimus",assessment,,"IBAMA, 2014. Ibama combate incêndio no Parque Nacional Serra dos Órgãos. Disponível em <http://www.ibama.gov.br/publicadas/ibama-combate-incendio-no-parque-nacional-serra-dos-orgaos>."
PRIMULACEAE,"Cybianthus gracillimus",assessment,,"ICMBio, 2014a. ICMBio e Ibama trabalham para conter incêndio na Serra dos Órgãos. Meio Ambiente. Disponível em < http://www.brasil.gov.br/meio-ambiente/2014/10/icmbio-e-ibama-trabalham-para-conter-incendio-na-serra-dos-orgaos>."
PRIMULACEAE,"Cybianthus gracillimus",assessment,,"ICMBio, 2014b. Incêndio enfraquece no Parque Nacional da Serra dos Órgãos. Notícias. Disponível em: <http://www.ibama.gov.br/publicadas/incendio-enfraquece-no-parque-nacional-da-serra-dos-orgaos>"
ORCHIDACEAE,"Lankesterella pilosa",assessment,,"Barberena, F.F.V.A., Meneguzzo, T.E.C., Barros, F., Pellegrini, M.O.O. 2014. Orchidaceae in Catálogo das espécies de plantas vasculares e briófitas do Estado do Rio de Janeiro. Rio de Janeiro: Instituto de Pesquisas Jardim Botânico do Rio de Janeiro. Disponível em <http://florariojaneiro.jbrj.gov.br>. Acesso em 30 março 2015."
ORCHIDACEAE,"Centroglossa greeniana",assessment,,"Barberena, F.F.V.A., Meneguzzo, T.E.C., Barros, F., Pellegrini, M.O.O. 2014. Orchidaceae in Catálogo das espécies de plantas vasculares e briófitas do Estado do Rio de Janeiro. Rio de Janeiro: Instituto de Pesquisas Jardim Botânico do Rio de Janeiro. Disponível em <http://florariojaneiro.jbrj.gov.br>. Acesso em 24 março 2015."
ORCHIDACEAE,"Centroglossa greeniana",assessment,,"Rodrigues, R.D.A.R., De Mello, W.Z., De Souza, P.A., 2007. Aporte atmosférico de amônio, nitrato e sulfato em área de floresta ombrófila densa montana na Serra Dos Órgãos, RJ. Quim. Nova 30, 1842–1848."
ORCHIDACEAE,"Centroglossa greeniana",assessment,,"IBAMA, 2014. Ibama combate incêndio no Parque Nacional Serra dos Órgãos. Disponível em <http://www.ibama.gov.br/publicadas/ibama-combate-incendio-no-parque-nacional-serra-dos-orgaos>. Acesso em 24 março 2015."
ORCHIDACEAE,"Centroglossa greeniana",assessment,,"ICMBio, 2014. ICMBio e Ibama trabalham para conter incêndio na Serra dos Órgãos. Meio Ambiente. Disponível em < http://www.brasil.gov.br/meio-ambiente/2014/10/icmbio-e-ibama-trabalham-para-conter-incendio-na-serra-dos-orgaos>. Acesso em 24 março 2015."
ORCHIDACEAE,"Centroglossa greeniana",assessment,,"Mendes, S.P., 2010. Implantação da APA Macaé de Cima (RJ): um confronto entre a função social da priopriedade eo direito ao meio ambiente ecologicamente preservado. V Encontro Nac. da Anppas, Florianópolis, SC."
LORANTHACEAE,"Struthanthus dorothyi",assessment,,"Tougeiro, J.V., 2008. Conflitos Socioambientais motivados por ocupação de manguezais e restingas para fins de moradia no espaço urbano de Macaé/ 1997-2007. Dissertação de Mestrado. Universidade Estadual do Norte Fluminense Darcy Ribeiro. Campo de Goytacazes. 150p."
ARACEAE,"Anthurium lucidum",assessment,,"Coelho, M.A.., Soares, M.L., Calazans, L.S.B., Gonçalves, E.G., Andrade, I.M. de, Pontes, T.A., Sakuragi, C.M., Temponi, L.G., Buturi, C., Mayo, S., 2015. Araceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <http://reflora.jbrj.gov.br/jabot/floradobrasil/FB4917> . Acesso em: 10 de Março de 2015."
ARACEAE,"Anthurium lucidum",assessment,,"Figueiró, A.S., Coelho Netto, A.L., 2009. Impacto ambiental ao longo de trilhas em áreas de floresta tropical de encosta : Maciço da Tijuca Rio de Janeiro - RJ. Mercator 8, 187–200. doi:10.4215/RM2009.0816.0015"
ARACEAE,"Anthurium lucidum",assessment,,"De Abreu, R.C., Rodrigues, P.J.F., 2010. Exotic tree Artocarpus heterophyllus (Moraceae) invades the Brazilian Atlantic Rainforest/Árvore exótica Artocarpus heterophyllus (Moraceae) invade a Mata Atlântica brasileira. Rodriguésia 61, 677–688."
CHRYSOBALANACEAE,"Hirtella barrosoi",assessment,,"Souza, L.O.C. de, 2012. Horto Florestal: um lugar de memória da cidade do Rio de Janeiro. PUC-RJ, Rio de Janeiro."
CHRYSOBALANACEAE,"Hirtella barrosoi",assessment,,"Species Plantarum- Flora of the world, 2003. Chrysobalanaceae (Hirtella). Encycl.3: 131-148."
CHRYSOBALANACEAE,"Hirtella barrosoi",assessment,,"Veloso, H.P.; Rangel Filho, A.L.R. e Lima, J.C.A., 1991. Classificação da vegetação brasileira, adaptada a um sistema universal. Rio de Janeiro: Fundação Instituto Brasileiro de Geografia e Estatística (IBGE), Departamento de Recursos Naturais e Estudos Ambientais. 124p."
MARCGRAVIACEAE,"Marcgravia comosa",assessment,,"Calaes, E.G.D., de Souza, G.A., Ferreira, E.G.E., Weisz, E.J., Castro, E.N.F., 2008. Estrada real: vetor de fertilização de conhecimento e aprendizado para a exploração mineral. Simpósio Explor. Miner. 2, 11."
MARCGRAVIACEAE,"Marcgravia comosa",assessment,,"Fernandes, M. do C., Lagüéns, J.V.M., Netto, A.L.C., 1999. O Processo de Ocupação por Favelas e sua Relação com os Eventos de Deslizamentos no Maciço da Tijuca/RJ. Anuário do Inst. Geociências - UFRJ 22, 45–59."
MARCGRAVIACEAE,"Marcgravia comosa",assessment,,"IBAMA, 2014. Ibama combate incêndio no Parque Nacional Serra dos Órgãos. Disponível em <http://www.ibama.gov.br/publicadas/ibama-combate-incendio-no-parque-nacional-serra-dos-orgaos>."
MARCGRAVIACEAE,"Marcgravia comosa",assessment,,"ICMBio, 2014a. ICMBio e Ibama trabalham para conter incêndio na Serra dos Órgãos. Meio Ambiente. Disponível em < http://www.brasil.gov.br/meio-ambiente/2014/10/icmbio-e-ibama-trabalham-para-conter-incendio-na-serra-dos-orgaos>."
MARCGRAVIACEAE,"Marcgravia comosa",assessment,,"ICMBio, 2014b. Incêndio enfraquece no Parque Nacional da Serra dos Órgãos. Notícias. Disponível em: <http://www.ibama.gov.br/publicadas/incendio-enfraquece-no-parque-nacional-da-serra-dos-orgaos>"
MARCGRAVIACEAE,"Marcgravia comosa",assessment,,"Marçal, M. dos S., Luz, L.M. da, 2000. Planejamento e gestão da Bacia do Rio Macaé – Litoral Norte Fluminense, com Base em Estudos Integrados de Geomorfologia e Uso do Solo. Anais. IX Congresso da Associação Brasileira de Estudos do Quaternário. ABEQUA. Recife. 5 p."
MARCGRAVIACEAE,"Marcgravia comosa",assessment,,"Matos, J.J.B.S., 2007. Composição Florística de espécies arbóreo-Arbustivas em trecho de borda situado no Parque Nacional da Tijuca. Monografia. Universidade Federal Rural do Rio de Janeiro."
MARCGRAVIACEAE,"Marcgravia comosa",assessment,,"Mendes, S.P., 2010. Implantação da APA Macaé de Cima (RJ): um confronto entre a função social da priopriedade eo direito ao meio ambiente ecologicamente preservado. V Encontro Nac. da Anppas, Florianópolis, SC."
MARCGRAVIACEAE,"Marcgravia comosa",assessment,,"Mota, L.D.M., 2009. Produção agrícola, meio ambiente e saúde em áreas rurais de Nova Friburgo, RJ: conflitos e negociações. Fundação Oswaldo Cruz. Tese de Doutorado. 155 p."
MARCGRAVIACEAE,"Marcgravia comosa",assessment,,"TCE-RJ, 2003. Estudo Socioeconômico 2004 - Santa Maria Madalena. Rio de Janeiro."
XYRIDACEAE,"Xyris organensis",assessment,,"TCE-RJ, 2003. Estudo Socioeconômico 2004 - Santa Maria Madalena. Rio de Janeiro."
XYRIDACEAE,"Xyris organensis",assessment,,"Wanderley, M.G.L.; Mota, N.F.O.; Silva, G.O.; Guedes, J.S.; Lozano, E.D. 2015.Xyridaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <http://reflora.jbrj.gov.br/jabot/floradobrasil/FB39852>. Acesso em: 18 Mar. 2015"
ORCHIDACEAE,"Prosthechea serpentilingua",assessment,,"Barros, F. de; Vinhos, F.; Rodrigues, V.T.; Barberena, F.F.V.A.; Fraga, C.N.; Pessoa, E.M.; Forster, W.; Menini Neto, L.; Furtado, S.G.; Nardy, C.; Azevedo, C.O.; Guimarães, L.R.S. Orchidaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB37192>. Acesso em: 29 Abr. 2015"
ASTERACEAE,"Austrocritonia rosea",assessment,,"Hattori, E.K.O., 2015. Austrocritonia in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <http://reflora.jbrj.gov.br/jabot/floradobrasil/FB111525> Acesso em: 13 de Março de 2015."
ASTERACEAE,"Austrocritonia rosea",assessment,,"IBAMA, 2014. Ibama combate incêndio no Parque Nacional Serra dos Órgãos. Disponível em <http://www.ibama.gov.br/publicadas/ibama-combate-incendio-no-parque-nacional-serra-dos-orgaos>."
ASTERACEAE,"Austrocritonia rosea",assessment,,"ICMBio, 2014a. ICMBio e Ibama trabalham para conter incêndio na Serra dos Órgãos. Meio Ambiente. Disponível em < http://www.brasil.gov.br/meio-ambiente/2014/10/icmbio-e-ibama-trabalham-para-conter-incendio-na-serra-dos-orgaos>."
ASTERACEAE,"Austrocritonia rosea",assessment,,"ICMBio, 2014b. Incêndio enfraquece no Parque Nacional da Serra dos Órgãos. Notícias. Disponível em: <http://www.ibama.gov.br/publicadas/incendio-enfraquece-no-parque-nacional-da-serra-dos-orgaos>"
AQUIFOLIACEAE,"Ilex friburgensis",assessment,,"Mendes, S.P., 2010. Implantação da APA Macaé de Cima (RJ): um confronto entre a função social da priopriedade eo direito ao meio ambiente ecologicamente preservado. V Encontro Nac. da Anppas, Florianópolis, SC."
PIPERACEAE,"Piper niteroiense",assessment,,"Dreyfus, P., 2009. Do Estado de Medo ao Estado de Direito: Problemas e Soluções do Crime Organizado e Controle Territorial Armado no Rio de Janeiro. Policy Pap. 1–8."
DRYOPTERIDACEAE,"Ctenitis flexuosa",assessment,,"Salino, A.; Almeida, T.E. 2015. Ctenitis in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB115586>. Acesso em: 19 Mar. 2015"
DRYOPTERIDACEAE,"Ctenitis flexuosa",assessment,,"Sylvestre, L. S. & Mynssen, C. M. 2014. Dryopteridaceae. Catálogo das espécies de plantas vasculares e briófitas do Estado do Rio de Janeiro. Rio de Janeiro: Instituto de Pesquisas Jardim Botânico do Rio de Janeiro. Disponível em: <http://florariojaneiro.jbrj.gov.br>. Acesso em: 19 Mar. 2015"
PTERIDACEAE,"Doryopteris quinquelobata",assessment,,"Prado, J. 2015. Pteridaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <http://reflora.jbrj.gov.br/jabot/floradobrasil/FB134499>. Acesso em: 22 Abr. 2015"
ORCHIDACEAE,"Hadrolaelia acuensis",assessment,,"Barros, F. de, Vinhos, F., Rodrigues, V.T., Barberena, F.F.V.A., Fraga, C.N., Pessoa, E.M., Forster, W., Menini Neto, L., Furtado, S.G., Nardy, C., Azevedo, C.O., Guimarães, L.R.S. 2015. Orchidaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em <http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB119767>. Acesso em 27 março 2015."
MELASTOMATACEAE,"Meriania longipes",assessment,,"Chiavegatto, B., 2009. Revisão taxonômica e filogenia do gênero Meriania Sw. (Melastomataceae) no Brasil. Tese de doutorado. Escola Nacional de Botânica Tropical, Instituto de Pesquisas Jardim Botânico do Rio de Janeiro."
MELASTOMATACEAE,"Meriania longipes",assessment,,"Baumgratz, J.F.A.; Santos Filho, L.A.F. & Silva-Gonçalves, K.C. 2014. Melastomataceae. Catálogo das espécies de plantas vasculares e briófitas do Estado do Rio de Janeiro. Rio de Janeiro: Instituto de Pesquisas Jardim Botânico do Rio de Janeiro. Disponível em: http://florariojaneiro.jbrj.gov.br."
MELASTOMATACEAE,"Meriania longipes",assessment,,"IBGE, 2015. Angra dos Reis. @Cidades. Disponível em: <http://cidades.ibge.gov.br/painel/historico.php?lang=&codmun=330010&search=rio-de-janeiro|angra-dos-reis|infograficos:-historico>. Acesso em 09 mar. 2015."
MELASTOMATACEAE,"Meriania longipes",assessment,,"Garcia, F.S., Dedeca, J.G., 2012. Reflexos ambientais (biodiversidade) da urbanização do município de Paraty-rj. Rev. Ciências do Ambient. On-Line 8, 7–15."
MELASTOMATACEAE,"Meriania longipes",assessment,,"Prefeitura de Angra, 2015. Agricultura em Angra. Disponível em: <http://www.angra.rj.gov.br/secretaria_sae_agricultura.asp?IndexSigla=SAE&vNomeLink=Agricultura de Angra dos Reis#.VP3yhPnF-Sp>. Acesso em 9 mar. 2015."
MELASTOMATACEAE,"Leandra depauperata",assessment,,"Baumgratz, J.F.A.; Santos Filho, L.A.F. & Silva-Gonçalves, K.C. 2014. Melastomataceae. Catálogo das espécies de plantas vasculares e briófitas do Estado do Rio de Janeiro. Rio de Janeiro: Instituto de Pesquisas Jardim Botânico do Rio de Janeiro. Disponível em: http://florariojaneiro.jbrj.gov.br."
PHYLLANTHACEAE,"Phyllanthus itatiaiensis",assessment,,"Aximoff, I., Rodrigues, R.D.C., 2011. Histórico dos incêndios florestais no Parque nacional do Itatiaia. Cienc. Florest. 21, 83–92."
PHYLLANTHACEAE,"Phyllanthus itatiaiensis",assessment,,"Aximoff, I., 2011. O que Perdemos com a Passagem do Fogo pelos Campos de Altitude do Estado do Rio de Janeiro? Biodiversidade Bras. 1, 180–200."
ORCHIDACEAE,"Hoffmannseggella alvaroana",assessment,,"TCE-RJ, 2003. Estudo Socioeconômico 2004 - Santa Maria Madalena. Rio de Janeiro."
BIGNONIACEAE,"Jacaranda crassifolia",assessment,,"Aximoff, I., 2011. O que Perdemos com a Passagem do Fogo pelos Campos de Altitude do Estado do Rio de Janeiro? Biodiversidade Bras. 1, 180–200."
BIGNONIACEAE,"Jacaranda crassifolia",assessment,,"Aximoff, I., Rodrigues, R.D.C., 2011. Histórico dos incêndios florestais no Parque nacional do Itatiaia. Cienc. Florest. 21, 83–92."
BIGNONIACEAE,"Jacaranda crassifolia",assessment,,"WWF, 2015 Observatório de UCs: Parque Nacional do Itatiaia. Disponível em:<http://observatorio.wwf.org.br/unidades/cadastro/387/>. Acesso em : 7 abr. 2015"
BROMELIACEAE,"Vriesea altomacaensis",assessment,,"Forzza, R.C.; Costa, A.; Siqueira Filho, J.A.; Martinelli, G.; Monteiro, R.F.; Santos-Silva, F.; Saraiva, D. P.; Paixão-Souza, B.; Louzada, R.B.; Versieux, L. 2015. Bromeliaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <http://reflora.jbrj.gov.br/jabot/floradobrasil/FB5966>. Acesso em: 31 Mar. 2015"
BROMELIACEAE,"Vriesea altomacaensis",assessment,,"Mendes, S.P., 2010. Implantação da APA Macaé de Cima (RJ): um confronto entre a função social da priopriedade eo direito ao meio ambiente ecologicamente preservado. V Encontro Nac. da Anppas, Florianópolis, SC."
BROMELIACEAE,"Vriesea costae",assessment,,"Forzza, R.C.; Costa, A.; Siqueira Filho, J.A.; Martinelli, G.; Monteiro, R.F.; Santos-Silva, F.; Saraiva, D. P.; Paixão-Souza, B.; Louzada, R.B.; Versieux, L., 2015. Bromeliaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <http://reflora.jbrj.gov.br/jabot/floradobrasil/FB6132>. Acesso em: 13 Mar. 2015"
ORCHIDACEAE,"Rodriguezia bifolia",assessment,,"Barberena, F.F.V.A., Meneguzzo, T.E.C., Barros, F., Pellegrini, M.O.O. 2014. Orchidaceae in Catálogo das espécies de plantas vasculares e briófitas do Estado do Rio de Janeiro. Rio de Janeiro: Instituto de Pesquisas Jardim Botânico do Rio de Janeiro. Disponível em <http://florariojaneiro.jbrj.gov.br>. Acesso em 9 abril 2015."
VIOLACEAE,"Rinorea laevigata",assessment,,"Holzer, W., Crichyno, J., Pires, A.C., 2004. Sustentabilidade da urbanização em áreas de restinga: uma proposta de avaliação pós-ocupação. Paisagem e Ambiente. 49–65."
VIOLACEAE,"Rinorea laevigata",assessment,,"Ribeiro, G., Oliveira, L.D. de, 2009. As Territorialidades da Metrópole no Século XXI: Tensões entre o Tradicional e o Moderno na Cidade de Cabo Frio-RJ. Geo UERJ 3, 108–127."
VIOLACEAE,"Rinorea laevigata",assessment,,"Ribeiro, G., Oliveira, L.D. de, 2009. As Territorialidades da Metrópole no Século XXI: Tensões entre o Tradicional e o Moderno na Cidade de Cabo Frio-RJ. Geo UERJ 3, 108–127."
BROMELIACEAE,"Nidularium atalaiaense",assessment,,"Leme, E.M.C., 2000. Niudularium - bromélias da Mata Atlântica, in: Niudularium - Bromélias Da Mata Atlântica. Sextante, Rio de Janeiro, RJ."
BROMELIACEAE,"Nidularium atalaiaense",assessment,,"Forzza, R.C.; Costa, A.; Siqueira Filho, J.A.; Martinelli, G.; Monteiro, R.F.; Santos-Silva, F.; Saraiva, D. P.; Paixão-Souza, B.; Louzada, R.B.; Versieux, L., 2015. Bromeliaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <http://reflora.jbrj.gov.br/jabot/floradobrasil/FB6132>. Acesso em: 13 Mar. 2015"
CUCURBITACEAE,"Wilbrandia glaziovii",assessment,,"Barros, A.A.M. de, 2008. Análise Florística e Estrutural do Parque Estadual da Serra da Tiririca, Niterói e Maricá, RJ, Brasil. Escola Nacional de Botânica Tropical."
BROMELIACEAE,"Neoregelia roethii",assessment,,"Forzza, R.C.; Costa, A.; Siqueira Filho, J.A.; Martinelli, G.; Monteiro, R.F.; Santos-Silva, F.; Saraiva, D. P.; Paixão-Souza, B.; Louzada, R.B.; Versieux, L., 2015. Bromeliaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <http://reflora.jbrj.gov.br/jabot/floradobrasil/FB6132>. Acesso em: 13 Mar. 2015"
MELASTOMATACEAE,"Tibouchina discolor",assessment,,"Baumgratz, J.F.A.; Santos Filho, L.A.F. & Silva-Gonçalves, K.C. 2014. Melastomataceae. Catálogo das espécies de plantas vasculares e briófitas do Estado do Rio de Janeiro. Rio de Janeiro: Instituto de Pesquisas Jardim Botânico do Rio de Janeiro. Disponível em: <http://florariojaneiro.jbrj.gov.br>."
LORANTHACEAE,"Struthanthus maricensis",assessment,,"Holzer, W., Crichyno, J., Pires, A.C., 2004. Sustentabilidade da urbanização em áreas de restinga: uma proposta de avaliação pós-ocupação. Paisagem e Ambiente. 49–65."
LORANTHACEAE,"Struthanthus maricensis",assessment,,"Santiago, R.B., Deslandes, R., 2011. Políticas Públicas e Ordenamento Territorial em Áreas de Preservação Ambiental na Região dos Lagos, Rio de Janeiro. Rev. Geográfica América Cent. 2, 8."
BROMELIACEAE,"Nidularium fradense",assessment,,"Forzza, R.C.; Costa, A.; Siqueira Filho, J.A.; Martinelli, G.; Monteiro, R.F.; Santos-Silva, F.; Saraiva, D. P.; Paixão-Souza, B.; Louzada, R.B.; Versieux, L., 2015. Bromeliaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <http://reflora.jbrj.gov.br/jabot/floradobrasil/FB6132>. Acesso em: 13 Mar. 2015"
BROMELIACEAE,"Nidularium fradense",assessment,,"Moura, R. & Vieira, C.M. 2014. Bromeliaceae. Catálogo das espécies de plantas vasculares e briófitas do Estado do Rio de Janeiro. Rio de Janeiro: Instituto de Pesquisas Jardim Botânico do Rio de Janeiro. Disponível em: <http://florariojaneiro.jbrj.gov.br"
