family,scientificName,endemic,altitude
MALVACEAE,"Abutilon esculentum",yes,
MALVACEAE,"Abutilon hirsutum",yes,
ISOETACEAE,"Isoetes ulei",yes,2500
MALVACEAE,"Abutilon macrophyllum",yes,
MALVACEAE,"Byttneria beyrichiana",yes,
MALVACEAE,"Callianthe glaziovii",yes,900
MALVACEAE,"Callianthe sellowiana",yes,
MALVACEAE,"Callianthe senilis",yes,
MALVACEAE,"Gaya gaudichaudiana",yes,
MALVACEAE,"Sida petropolitana",yes,
MALVACEAE,"Sida sampaiana",yes,
BROMELIACEAE,"Neoregelia petropolitana",yes,
ORCHIDACEAE,"Baptistonia pulchella",yes,
BROMELIACEAE,"Neoregelia roethii",yes,
BROMELIACEAE,"Neoregelia rubrovittata",,
ORCHIDACEAE,"Campylocentrum calostachyum",yes,
BROMELIACEAE,"Neoregelia sapiatibensis",yes,
ORCHIDACEAE,"Campylocentrum organense",yes,
CELASTRACEAE,"Maytenus samydaeformis",yes,0~30
Bromeliaceae,"Neoregelia paratiensis",yes,
ACANTHACEAE,"Staurogyne brachiata",yes,800
BROMELIACEAE,"Neoregelia tenebrosa",yes,
COMMELINACEAE,"Dichorisandra odorata",yes,
PROTEACEAE,"Roupala gracilis",yes,150~800
EUPHORBIACEAE,"Acalypha ampliata",yes,
BROMELIACEAE,"Neoregelia uleana",yes,
BROMELIACEAE,"Neoregelia watersiana",yes,
VIOLACEAE,"Rinorea laevigata",yes,
ACANTHACEAE,"Staurogyne euryphylla",,
BIGNONIACEAE,"Adenocalymma bullatum",yes,
PASSIFLORACEAE,"Passiflora farneyi",yes,
BROMELIACEAE,"Cryptanthus bromelioides",yes,
PASSIFLORACEAE,"Passiflora imbeana",yes,1.1~1.5
ORCHIDACEAE,"Catasetum globiflorum",,
ORCHIDACEAE,"Cattleya dormaniana",yes,700~900
MELASTOMATACEAE,"Behuria corymbosa",yes,
BROMELIACEAE,"Cryptanthus delicatus",yes,
BROMELIACEAE,"Cryptanthus sinuosus",yes,
MELASTOMATACEAE,"Behuria edmundoi",yes,
ORCHIDACEAE,"Centroglossa greeniana",,
MELASTOMATACEAE,"Behuria glazioviana",yes,
MELASTOMATACEAE,"Behuria huberioides",yes,1000~1100
BROMELIACEAE,"Dyckia martinellii",yes,
ORCHIDACEAE,"Cleistes liliastrum",yes,
MELASTOMATACEAE,"Behuria limae",yes,2110
ORCHIDACEAE,"Cleistes miersii",yes,
MELASTOMATACEAE,"Behuria magdalenensis",yes,1500~2100
BROMELIACEAE,"Dyckia pseudococcinea",yes,
PIPERACEAE,"Piper weddellii",yes,
PIPERACEAE,"Piper trigonodrupum",yes,
MELASTOMATACEAE,"Behuria mouraei",yes,
ORCHIDACEAE,"Coppensia edmundoi",yes,
PIPERACEAE,"Piper translucens",yes,
ORCHIDACEAE,"Cyclopogon gardneri",yes,
ORCHIDACEAE,"Cyclopogon proboscideus",yes,
ORCHIDACEAE,"Cyclopogon venustus",yes,
MELASTOMATACEAE,"Behuria organensis",yes,1300~1800
PRIMULACEAE,"Stylogyne araujoana",yes,400
BROMELIACEAE,"Nidularium altimontanum",yes,
BROMELIACEAE,"Nidularium angustifolium",yes,
PIPERACEAE,"Piper saldanhai",yes,
BROMELIACEAE,"Nidularium apiculatum",yes,
PIPERACEAE,"Piper rumicifolium",yes,
ORCHIDACEAE,"Encyclia viridiflora",yes,
BROMELIACEAE,"Nidularium atalaiaense",yes,410
ERICACEAE,"Agarista organensis",yes,1800~2200
ERICACEAE,"Agarista uleana",yes,400~2000
ERICACEAE,"Gaylussacia angulata",,
ERICACEAE,"Gaylussacia pruinosa",yes,
ERICACEAE,"Gaylussacia retivenia",yes,2000~2250
CAPPARACEAE,"Neocalyptrocalyx eichleriana",yes,
PIPERACEAE,"Piper rioense",yes,150
ONAGRACEAE,"Fuchsia alpestris",yes,
ONAGRACEAE,"Fuchsia campos-portoi",yes,2000
ONAGRACEAE,"Fuchsia glazioviana",yes,1400~2000
OPILIACEAE,"Agonandra fluminensis",yes,
ORCHIDACEAE,"Epidendrum ammophilum",yes,
HELICONIACEAE,"Heliconia pseudoaemygdiana",yes,400~800
MELASTOMATACEAE,"Bertolonia grazielae",yes,50~500
MELASTOMATACEAE,"Bertolonia sanguinea",,
MELASTOMATACEAE,"Bertolonia valenteana",yes,900
LAURACEAE,"Ocotea leucophloea",yes,
LAURACEAE,"Ocotea schwackeana",yes,
LAURACEAE,"Mezilaurus navalium",yes,
LAURACEAE,"Ocotea sulcata",yes,820~1700
PIPERACEAE,"Piper niteroiense",yes,
PIPERACEAE,"Piper morisonianum",yes,
BROMELIACEAE,"Nidularium fradense",yes,
ASTERACEAE,"Austrocritonia rosea",,
BROMELIACEAE,"Nidularium fulgens",yes,
PIPERACEAE,"Piper lundii",yes,
ASTERACEAE,"Austroeupatorium petrophilum",yes,
ASTERACEAE,"Baccharis alpestris",yes,
MELASTOMATACEAE,"Bisglaziovia behurioides",yes,
ASTERACEAE,"Baccharis bifrons",yes,
PIPERACEAE,"Piper halesiifolium",yes,
DRYOPTERIDACEAE,"Elaphoglossum hirtipes",,
BROMELIACEAE,"Nidularium itatiaiae",yes,
PIPERACEAE,"Piper giordanoi",yes,450
ORCHIDACEAE,"Epidendrum goebelii",yes,
ASTERACEAE,"Baccharis ciliata",yes,
ASTERACEAE,"Baccharis friburgensis",,1000~1500
ORCHIDACEAE,"Epidendrum harrisoniae",yes,
ASTERACEAE,"Baccharis pseudovaccinioides",yes,1400~1500
PIPERACEAE,"Piper emygdioi",yes,
ASTERACEAE,"Barrosoa viridiflora",yes,
ASTERACEAE,"Bartlettina hemisphaerica",yes,
ORCHIDACEAE,"Epistephium portellianum",,
BROMELIACEAE,"Nidularium mangaratibense",yes,
ASTERACEAE,"Calea wedelioides",yes,
MELASTOMATACEAE,"Clidemia raddiana",,
ASTERACEAE,"Critoniopsis magdalenae",yes,
ASTERACEAE,"Dasyphyllum cryptocephalum",yes,1860~1900
ASTERACEAE,"Dasyphyllum leptacanthum",yes,
ASTERACEAE,"Gamochaeta grazielae",yes,
ASTERACEAE,"Graphistylis cuneifolia",yes,
ASTERACEAE,"Lepidaploa araujoa",yes,
PIPERACEAE,"Piper crebrinodum",yes,
PIPERACEAE,"Peperomia riedeliana",yes,
ASTERACEAE,"Lepidaploa coulonioides",yes,
PIPERACEAE,"Peperomia pubipeduncula",yes,
PIPERACEAE,"Peperomia marmorata",,
ASTERACEAE,"Lepidaploa obtusifolia",yes,
ASTERACEAE,"Lepidaploa persicifolia",yes,
BROMELIACEAE,"Nidularium organense",yes,
BROMELIACEAE,"Nidularium rosulatum",yes,
ASTERACEAE,"Lessingianthus glaziovianus",yes,
ASTERACEAE,"Macropodina bradei",yes,
ASTERACEAE,"Mikania alexandreae",yes,
ASTERACEAE,"Mikania cabrerae",yes,
ORCHIDACEAE,"Eurystyles lobata",yes,
MELASTOMATACEAE,"Huberia minor",yes,850~1500
ASTERACEAE,"Mikania campos-portoana",yes,
ASTERACEAE,"Mikania casarettoi",yes,
ASTERACEAE,"Mikania hastifolia",yes,
BROMELIACEAE,"Nidularium scheremetiewii",,
ARACEAE,"Anthurium harrisii",yes,
BROMELIACEAE,"Nidularium utriculosum",yes,
ORCHIDACEAE,"Eurystyles rutkowskiana",,
PRIMULACEAE,"Stylogyne sordida",yes,400
ASTERACEAE,"Mikania paranahybensis",yes,
ASTERACEAE,"Mikania pteropoda",yes,
ASTERACEAE,"Mikania vauthieriana",yes,
ORCHIDACEAE,"Gomesa messmeriana",yes,
COMMELINACEAE,"Dichorisandra picta",yes,
ASTERACEAE,"Ophryosporus organensis",yes,
ARACEAE,"Anthurium lucidum",yes,500~1500
BROMELIACEAE,"Nidularium viridipetalum",yes,
ORCHIDACEAE,"Habenaria gnoma",yes,
ASTERACEAE,"Piptocarpha verticillata",yes,
ASTERACEAE,"Senecio arctiifolius",yes,
ORCHIDACEAE,"Habenaria luetzelburgii",yes,
MONIMIACEAE,"Mollinedia longicuspidata",yes,800
ASTERACEAE,"Senecio malacophyllus",yes,2400
PRIMULACEAE,"Stylogyne leptantha",yes,900~1000
COMMELINACEAE,"Dichorisandra begoniaefolia",yes,
ORCHIDACEAE,"Hadrolaelia acuensis",yes,
ASTERACEAE,"Senecio ramentaceus",yes,
ASTERACEAE,"Stevia dubia",yes,
ORCHIDACEAE,"Hapalorchis cymbirostris",,
ASTERACEAE,"Stevia organensis",yes,
ASTERACEAE,"Stevia verticillata",yes,
ASTERACEAE,"Trichogoniopsis podocarpa",yes,
ASTERACEAE,"Wunderlichia insignis",yes,1000~1400
MONIMIACEAE,"Mollinedia corcovadensis",yes,50
ARACEAE,"Anthurium augustinum",yes,
MONIMIACEAE,"Mollinedia stenophylla",yes,800
ARACEAE,"Anthurium bragae",,
ORCHIDACEAE,"Hapalorchis panduratus",,
ARACEAE,"Anthurium laucheanum",,500~1500
MONIMIACEAE,"Mollinedia acutissima",yes,1500
ARACEAE,"Anthurium lhotzkyanum",yes,1500
ARACEAE,"Anthurium luschnathianum",yes,
ARACEAE,"Anthurium nitidulum",yes,
ARACEAE,"Anthurium simonii",yes,
ARACEAE,"Anthurium validinervium",yes,
ARACEAE,"Asterostigma concinnum",yes,
ARACEAE,"Asterostigma vellozianum",yes,
ARACEAE,"Philodendron alternans",yes,
ARACEAE,"Philodendron fragile",yes,
ARACEAE,"Philodendron millerianum",yes,
ARACEAE,"Philodendron nadruzianum",yes,
ARACEAE,"Wolffiella neotropica",no,
PRIMULACEAE,"Stylogyne depauperata",,
ORCHIDACEAE,"Hoffmannseggella alvaroana",yes,
ORCHIDACEAE,"Lankesterella parvula",yes,
ORCHIDACEAE,"Lankesterella pilosa",yes,
BROMELIACEAE,"Quesnelia edmundoi",yes,
TRIURIDACEAE,"Peltophyllum caudatum",yes,880~1400
TRIURIDACEAE,"Triuris alata",yes,900
MELASTOMATACEAE,"Huberia parvifolia",,
BROMELIACEAE,"Quesnelia lateralis",yes,
BROMELIACEAE,"Quesnelia seideliana",yes,
BROMELIACEAE,"Canistropsis correia-araujoi",yes,
BROMELIACEAE,"Canistropsis elata",yes,
BROMELIACEAE,"Canistropsis marceloi",yes,
BROMELIACEAE,"Canistropsis pulcherrima",yes,
BROMELIACEAE,"Billbergia amandae",yes,
ORCHIDACEAE,"Lankesterella spannageliana",yes,
ORCHIDACEAE,"Maxillaria pterocarpa",,
ORCHIDACEAE,"Miltonia flava",yes,
BROMELIACEAE,"Tillandsia brachyphylla",yes,
MONIMIACEAE,"Mollinedia marliae",yes,
MELASTOMATACEAE,"Huberia triplinervis",yes,
ORCHIDACEAE,"Octomeria aetheoantha",,
BROMELIACEAE,"Tillandsia carminea",yes,
BROMELIACEAE,"Tillandsia grazielae",,
BROMELIACEAE,"Tillandsia neglecta",yes,
BROMELIACEAE,"Tillandsia nuptialis",,
MELASTOMATACEAE,"Leandra acuminata",,
MELASTOMATACEAE,"Leandra alpestris",yes,
BROMELIACEAE,"Tillandsia organensis",yes,
EUPHORBIACEAE,"Acalypha aspericocca",yes,
EUPHORBIACEAE,"Acalypha peckoltii",yes,
EUPHORBIACEAE,"Bernardia brevipes",yes,
EUPHORBIACEAE,"Acalypha pohliana",yes,
EUPHORBIACEAE,"Acalypha radicans",yes,
EUPHORBIACEAE,"Acalypha subsana",yes,
EUPHORBIACEAE,"Actinostemon mandiocanus",yes,
EUPHORBIACEAE,"Algernonia gibbosa",yes,
EUPHORBIACEAE,"Algernonia glazioui",yes,
EUPHORBIACEAE,"Algernonia paulae",yes,160~600
EUPHORBIACEAE,"Caperonia velloziana",yes,
EUPHORBIACEAE,"Croton nigricans",yes,
EUPHORBIACEAE,"Croton tenuicaulis",yes,
EUPHORBIACEAE,"Dalechampia granadilla",yes,
EUPHORBIACEAE,"Euphorbia laevigata",yes,
EUPHORBIACEAE,"Euphorbia sabulicola",yes,
EUPHORBIACEAE,"Manihot corymbiflora",yes,
EUPHORBIACEAE,"Ophthalmoblapton macrophyllum",yes,
EUPHORBIACEAE,"Sebastiania pteroclada",yes,
EUPHORBIACEAE,"Tragia peltata",yes,
BROMELIACEAE,"Tillandsia reclinata",yes,
MELASTOMATACEAE,"Leandra altomacaensis",yes,800~1100
MELASTOMATACEAE,"Leandra atrata",yes,
MELASTOMATACEAE,"Leandra atroviridis",yes,
MELASTOMATACEAE,"Leandra attenuata",yes,
MELASTOMATACEAE,"Leandra breviflora",yes,1000~1400
MELASTOMATACEAE,"Leandra chaetocalyx",yes,
MELASTOMATACEAE,"Leandra dentata",yes,
CACTACEAE,"Rhipsalis triangularis",yes,400
CACTACEAE,"Rhipsalis pentaptera",yes,0~300
BROMELIACEAE,"Tillandsia roseiflora",yes,
CHRYSOBALANACEAE,"Couepia parvifolia",yes,
FABACEAE,"Aeschynomene bradei",yes,
ARACEAE,"Anthurium cronembergerae",yes,450
BROMELIACEAE,"Tillandsia sucrei",yes,
ARACEAE,"Anthurium sakuraguianum",yes,
ARACEAE,"Philodendron luisae",yes,
MELASTOMATACEAE,"Leandra depauperata",yes,1200
MELASTOMATACEAE,"Leandra freyreissii",yes,
MELASTOMATACEAE,"Leandra laxa",yes,900~1350
MELASTOMATACEAE,"Leandra magdalenensis",yes,1100~1550
MELASTOMATACEAE,"Leandra markgrafii",yes,
MELASTOMATACEAE,"Leandra mollis",yes,700~1100
MELASTOMATACEAE,"Leandra mouraei",yes,
MELASTOMATACEAE,"Leandra multisetosa",yes,1000~1100
MELASTOMATACEAE,"Leandra niangaeformis",yes,
MELASTOMATACEAE,"Leandra organensis",yes,
MELASTOMATACEAE,"Leandra pubescens",,
MELASTOMATACEAE,"Leandra rubida",yes,
MELASTOMATACEAE,"Leandra saldanhaei",yes,
MELASTOMATACEAE,"Leandra schwackei",yes,
BROMELIACEAE,"Tillandsia thiekenii",yes,
MELASTOMATACEAE,"Leandra sessiliflora",yes,
MELASTOMATACEAE,"Leandra sphaerocarpa",yes,1000
MELASTOMATACEAE,"Leandra tetragona",yes,
BROMELIACEAE,"Billbergia brasiliensis",yes,
FABACEAE,"Bauhinia albicans",yes,
BROMELIACEAE,"Billbergia macracantha",yes,
Amaryllidaceae,"Worsleya procera",yes,1200
BROMELIACEAE,"Aechmea cariocae",yes,
BIGNONIACEAE,"Bignonia costata",yes,
BROMELIACEAE,"Aechmea dealbata",yes,
ORCHIDACEAE,"Octomeria cariocana",yes,
BROMELIACEAE,"Aechmea fasciata",yes,
ORCHIDACEAE,"Octomeria cochlearis",yes,
ORCHIDACEAE,"Octomeria fimbriata",yes,1300~1400
ORCHIDACEAE,"Octomeria helvola",yes,
BIGNONIACEAE,"Fridericia elegans",yes,
BROMELIACEAE,"Aechmea grazielae",,
BROMELIACEAE,"Aechmea paratiensis",yes,
BROMELIACEAE,"Aechmea prava",yes,
ORCHIDACEAE,"Octomeria itatiaiae",yes,2000
BROMELIACEAE,"Aechmea squarrosa",yes,
BIGNONIACEAE,"Jacaranda crassifolia",yes,500~1000
BROMELIACEAE,"Alcantarea farneyi",yes,
CLUSIACEAE,"Clusia immersa",yes,
CLUSIACEAE,"Clusia studartiana",yes,
CLUSIACEAE,"Garcinia calyptrata",yes,
BROMELIACEAE,"Alcantarea geniculata",yes,
BROMELIACEAE,"Alcantarea glaziouana",yes,
ORCHIDACEAE,"Octomeria minuta",yes,
BROMELIACEAE,"Alcantarea heloisae",yes,300~900
ORCHIDACEAE,"Octomeria multiflora",yes,
BROMELIACEAE,"Alcantarea martinellii",yes,
BROMELIACEAE,"Alcantarea nevaresii",yes,
ORCHIDACEAE,"Octomeria pumila",yes,
ORCHIDACEAE,"Octomeria rodeiensis",yes,1800
ANTHOCEROTACEAE,"Anthoceros lamellatus",yes,
CEPHALOZIELLACEAE,"Cylindrocolea brasiliensis",yes,
DICRANACEAE,"Dicranoloma brasiliense",yes,
MELASTOMATACEAE,"Meriania excelsa",yes,
ARACEAE,"Philodendron imbe",,
ORCHIDACEAE,"Octomeria rodriguesii",,
CHRYSOBALANACEAE,"Hirtella barrosoi",yes,
PLANTAGINACEAE,"Achetaria latifolia",yes,
BROMELIACEAE,"Alcantarea tortuosa",yes,
BROMELIACEAE,"Pitcairnia albiflos",,860
ORCHIDACEAE,"Octomeria sarcophylla",yes,
ORCHIDACEAE,"Pabstia placanthera",yes,
DILLENIACEAE,"Davilla glaziovii",yes,
TRIGONIACEAE,"Trigonia littoralis",yes,
TRIGONIACEAE,"Trigonia rotundifolia",yes,
CHRYSOBALANACEAE,"Licania glazioviana",yes,
BROMELIACEAE,"Pitcairnia beycalema",yes,
ORCHIDACEAE,"Pabstiella calcarata",yes,900~1500
BROMELIACEAE,"Pitcairnia corcovadensis",yes,
ORCHIDACEAE,"Pabstiella crassicaulis",yes,
ORCHIDACEAE,"Pabstiella elegantula",yes,
BROMELIACEAE,"Pitcairnia encholirioides",yes,
ORCHIDACEAE,"Pabstiella gracilicaulis",yes,
BROMELIACEAE,"Pitcairnia insularis",yes,
ORCHIDACEAE,"Pabstiella spathuliglossa",yes,
ORCHIDACEAE,"Pabstiella tabacina",yes,
MELASTOMATACEAE,"Meriania glabra",yes,300
MELASTOMATACEAE,"Meriania glazioviana",yes,400~500
CALOPHYLLACEAE,"Kielmeyera excelsa",yes,
MELASTOMATACEAE,"Meriania longipes",yes,
BROMELIACEAE,"Pitcairnia staminea",yes,
BROMELIACEAE,"Pitcairnia suaveolens",yes,
MARCGRAVIACEAE,"Marcgravia comosa",yes,
BROMELIACEAE,"Pitcairnia wendtiae",yes,
ORCHIDACEAE,"Pelexia longibracteata",yes,
ORCHIDACEAE,"Pelexia luetzelburgii",yes,
SPHAGNACEAE,"Sphagnum costae",yes,1300
SPHAGNACEAE,"Sphagnum luetzelburgii",yes,
SPHAGNACEAE,"Sphagnum scorpioides",yes,
FABACEAE,"Inga arenicola",yes,
MELASTOMATACEAE,"Meriania robusta",yes,1050~1200
SPHAGNACEAE,"Sphagnum subhomophyllum",yes,
LEJEUNEACEAE,"Colura itatyana",yes,1500~2500
SELIGERIACEAE,"Brachydontium notorogenes",yes,2640~2700
SPHAGNACEAE,"Sphagnum amoenum",yes,
FABACEAE,"Inga enterolobioides",yes,
MARCGRAVIACEAE,"Souroubea platyadenia",yes,
FABACEAE,"Machaerium firmum",yes,
ORCHIDACEAE,"Pelexia mouraei",yes,
BROMELIACEAE,"Vriesea altimontana",yes,
ORCHIDACEAE,"Phymatidium limae",yes,
ORCHIDACEAE,"Pabstiella dracula",yes,700~900
ORCHIDACEAE,"Pleurothallis jacarepaguaensis",yes,
CALOPHYLLACEAE,"Kielmeyera gracilis",yes,1200
SPHAGNACEAE,"Sphagnum triporosum",yes,
BROMELIACEAE,"Vriesea altomacaensis",yes,
ORCHIDACEAE,"Pleurothallis viridiflora",,
CALOPHYLLACEAE,"Kielmeyera insignis",yes,
MELASTOMATACEAE,"Miconia augusti",yes,
BROMELIACEAE,"Vriesea atrococcinea",yes,
BROMELIACEAE,"Vriesea bleherae",yes,
