occurrenceID;bibliographicCitation;institutionCode;collectionCode;catalogNumber;recordNumber;recordedBy;occurrenceRemarks;year;month;day;identifiedBy;yearIdentified;monthIdentified;dayIdentified;stateProvince;municipality;locality;decimalLatitude;decimalLongitude;family;genus;specificEpithet;infraspecificEpithet;scientificName;georeferenceRemarks;georeferenceProtocol;georeferenceVerificationStatus;georeferencedBy;georeferencedDate;georeferencePrecision;acceptedNameUsage
53ceafe812051;;UNICAMP;UEC;141677;;"Silva, R.R.; Velásquez, J.S.; Velásquez, J.S.";;2003;01;27;Silva, R.R.;2003;01;;Mato Grosso do Sul;Corumbá;Serra Tromba dos Macacos, Planalto Residual do Urucum. Acesso pela fazenda do Sr. Jorge Ribeiro. Interior de Floresta Estacional Decidual.;-19.225338;-57.579;Leguminosae-Caes;Bauhinia;leptantha;;Bauhinia leptantha;;SIG;1;Thiago;17/04/14;centroide de poligono;Bauhinia leptantha
53ceafe812191;;UNICAMP;UEC;142662;;"Silva, R.R.; Velasquez, J.S.; Velasquez, J.S.";;2003;10;23;Silva, R.R.;2003;10;;Mato Grosso do Sul;Corumbá;Serra Grande, Planalto Residual do Urucum. Interior de Floresta Estacional Decidual.;-19.225338;-57.579;Leguminosae-Caes;Bauhinia;leptantha;;Bauhinia leptantha;;SIG;1;Thiago;17/04/14;centroide de poligono;Bauhinia leptantha
53ceafe8125ec;;CPAP;CPAP;11171;;Santos, V.B. dos;;1992;11;02;V.J. Pott;;;;MS;CORUMBÁ;;-18.424455;-56.652129;Leg. Caes.;Bauhinia;leptantha;;Bauhinia leptantha;;SIG;1;Thiago;17/04/14;Centroide de Municipio;Bauhinia leptantha
53ceafe81269a;;CPAP;CPAP;6232;;Pott, V.J.;;1989;05;31;;;;;MS;CORUMBÁ;Terras;-18.424455;-56.652129;Leg. Caes.;Bauhinia;leptantha;;Bauhinia leptantha;;SIG;1;Thiago;17/04/14;Centroide de Municipio;Bauhinia leptantha
53ceafe8127e9;;CPAP;CPAP;24744;;Silva, R.R.;;2003;01;27;R.R. Silva;2003;01;;Mato Grosso do Sul;Corumbá;Serra Tromba dos Macacos, Planalto Residual do Urucum. Acesso pela Fazenda do Sr. Jorge Ribeiro. Interior de Floresta Estacional Decidual. Solo argilo-arenoso.;-19.225338;-57.579;Leg. Caes.;Bauhinia;leptantha;;Bauhinia leptantha;;SIG;1;Thiago;17/04/14;centroide de poligono;Bauhinia leptantha
53ceafe8128e4;;CPAP;CPAP;24990;;Silva, R.R.;;2004;12;07;R.R. Silva;2004;12;;Mato Grosso do Sul;Ladário;Serra do Rabichão, Planalto Residual do Urucum. Acesso Fazenda Uruba. Interior de Floresta Estacional Decidual. Solo ferruginoso.;-19.225338;-57.579;Leg. Caes.;Bauhinia;leptantha;;Bauhinia leptantha;;SIG;1;Thiago;17/04/14;centroide de poligono;Bauhinia leptantha
53ceafe8129cc;;CPAP;CPAP;24893;;Silva, R.R.;;2004;05;18;R.R. Silva;2004;05;;Mato Grosso do Sul;Ladário;Serra do Rabichão, Planalto Residual do Urucum. Acesso Fazenda Uruba. Interior de Floresta Estacional Decidual.;-19.225338;-57.579;Leg. Caes.;Bauhinia;leptantha;;Bauhinia leptantha;;SIG;1;Thiago;17/04/14;centroide de poligono;Bauhinia leptantha
53ceafe812ab9;;UNICAMP;UEC;141015;;"Silva, R.R.; Velásquez, J.S.; Velásquez, J.S.";;2003;11;17;Silva, R.R.;2003;11;;Mato Grosso do Sul;Corumbá;"Sopé da Serra Santa Cruz, Planalto Residual do Urucum. &nf;Acesso pela estrada do Lago Azul. &nf;Borda de Floresta Estacional Decidual.";-19.225338;-57.579;Leguminosae-Caes;Bauhinia;leptantha;;Bauhinia leptantha;;SIG;1;Thiago;17/04/14;centroide de poligono;Bauhinia leptantha
53ceafe812ba1;;CPAP;CPAP;24980;;Silva, R.R.;;2004;11;16;R.R. Silva;2004;04;;Mato Grosso do Sul;Ladário;Serra do Rabichão, Planalto Residual do Urucum. Acesso Fazenda Uruba. Interior de Floresta Estacional Decidual. Solo ferruginoso.;-19.225338;-57.579;Leg. Caes.;Bauhinia;leptantha;;Bauhinia leptantha;;SIG;1;Thiago;17/04/14;centroide de poligono;Bauhinia leptantha
53ceafe812c8b;;CJB;G;278444/1;;Malme, G. O. A.;;1903;04;09;Wunderlin, R. P.;1984;01;01;Corumbá;;Brasiliae civit. Matto Grosso: Corumbá;-18.424455;-56.652129;Fabaceae;Bauhinia;leptantha;;Bauhinia leptantha;;;1;Thiago;17/04/14;Centroide de Municipio;Bauhinia leptantha
53ceafe812d71;;UFMS;CGMS;19772;;F. Matos-Alves;;2006;11;30;G.M. Silva;;;;Mato Grosso do Sul;Corumbá;Assentamento Taquaral, Sítio Sogra do Pedro;-18.424455;-56.652129;Leguminosae;Bauhinia;leptantha;;Bauhinia leptantha;;SIG;1;Thiago;17/04/14;Centroide de Municipio;Bauhinia leptantha
53ceafe812e5a;;CPAP;CPAP;24815;;Silva, R.R.;;2003;11;17;R.R. Silva;2003;11;;Mato Grosso do Sul;Corumbá;Sopé da Serra Santa Cruz, Planalto Residual do Urucum. Aceso pelo Lago Azul. Borda de Floresta Estacional Decidual. Solo minério de ferro.;-19.225338;-57.579;Leg. Caes.;Bauhinia;leptantha;;Bauhinia leptantha;;SIG;1;Thiago;17/04/14;centroide de poligono;Bauhinia leptantha
53ceafe812f44;;HUFU;;8782;2185;R. Romero;"HABITAT:Campo limpo.; DESC:Herbáceo, ca. 0.1 m. Corola púrpura, anteras maiores vinho, menores e base dos conectivos amarelados";1995;5;11;R. Romero;1998;7;;Minas Gerais;Sacramento;Parque Nacional da Serra da Canastra-Chapadão do Diamante;-19.8653;-47.44;MELASTOMATACEAE;Microlicia;scoparia;;Microlicia scoparia;;;1;Thiago;18/02/14;;Microlicia scoparia
53ceafe81302e;;HUEFS;;111852;874;A.K.A. Santos;Altitude: min 1018m., max 1018m;2006;8;20;A.K.A. Santos;2007;12;;Minas Gerais;Ibicoara;Campo Redondo (7.6 km do centro da cidade);-13.434444;-41.211944;MELASTOMATACEAE;Pterolepis;rotundifolia;;Pterolepis rotundifolia;Estado BA;;1;Thiago;18/02/14;;Pterolepis rotundifolia
53ceafe813115;;SP;;143673;4016;A.M. Giulietti;DESC:Flores rosa-claro;1973;2;26;"J. Semir; A.B. Martins";1987;1;1;Minas Gerais;Jaboticatubas;"Serra do Cipó - Km 128; ao longo da rodovia Lagoa Santa-Conceição do Mato Dentro-Diamantina";-19.5136;-43.745;MELASTOMATACEAE;Microlicia;scoparia;;Microlicia scoparia;;;1;Thiago;18/02/14;;Microlicia scoparia
53ceafe8131fe;;UEFS;HUEFS;85179;;Borba, E.L.;;2004;08;04;;;;;Bahia;Mucugê;Gobira;-13.077222;-41.375278;Ochnaceae;Sauvagesia;ribeiroi;;Sauvagesia ribeiroi;;;1;Thiago;24/02/14;;Sauvagesia ribeiroi
53ceafe8132e9;;BHCB;;60017;;A.E. Brina;;2000;12;10;;;;;Minas Gerais;Mariana;;-20.3778;-43.4161;MELASTOMATACEAE;Microlicia;suborbicularifolia;;Microlicia suborbicularifolia;;;1;Thiago;18/02/14;;Microlicia suborbicularifolia
53ceafe8133d3;;SP;;183522;355;J.R. Pirani;"HABITAT:Campo rupestre; DESC:Arbusto 1 m alt. Flores lilases. População numerosa";1982;12;18;R. Romero;1999;1;20;Minas Gerais;Santa Bárbara;"Serra do Caraça; caminho a ""cascatona""";-19.9594;-43.4153;MELASTOMATACEAE;Microlicia;suborbicularifolia;;Microlicia suborbicularifolia;;;1;Thiago;18/02/14;;Microlicia suborbicularifolia
53ceafe8134bb;;HUFU;;38778;5978;R. Romero;"HABITAT:Beira de estrada, solo arenso.; DESC:Arbusto, ca. 0.6 m. Corola púrpura, anteras maiores vinho, menores amarelas, apêndice do conectivo amarelo";2001;3;26;R. Romero;2001;3;26;Minas Gerais;Catas Altas;"Parque Natural do Caraça; Estrada para Caraça";-20.075;-43.51;MELASTOMATACEAE;Microlicia;suborbicularifolia;;Microlicia suborbicularifolia;;;1;Thiago;18/02/14;;Microlicia suborbicularifolia
53ceafe8135a5;;UFMS;CGMS;28789;;A. Pott;;2003;05;07;G.M. Silva;2008;10;31;Mato Grosso do Sul;Corumbá;Reserva Acurizal, Serra do Amolar, borda oeste do Pantanal.;-17.860556;-57.553333;Leguminosae;Bauhinia;leptantha;;Bauhinia leptantha;;;1;Thiago;17/04/14;;Bauhinia leptantha
53ceafe81368f;;USP;SPF;49424;;"Pirani, J.R.; Harley, R.M.; Stannard, B.L.; Furlan, A.; Kameyama, C.; Harley, R.M.; Stannard, B.L.; Furlan, A.; Kameyama, C.";;1987;02;06;Rizzini;1990;01;01;Goiás;Alto Paraíso de Goiás;Parque Nacional Chapada dos Veadeiros, Próximo da Cachoeira do Rio Preto, perto do povoado de São Jorge. Cerrado de Chapada em solo pedregoso e mata ciliar.;-14.1325;-47.51;Loranthaceae;Phoradendron;anamariae;;Phoradendron anamariae;;;1;Thiago;24/02/14;;Phoradendron anamariae
53ceafe81377d;;UnB;UB;;;"Irwin, H.S.; Harley, R.M.; Smith, G.L.; Harley, R.M.; Smith, G.L.";;1971;03;20;Caires, C.S.;2004;07;29;Goiás;Alto Paraíso de Goiás;Chapada dos Veadeiros;-14.1325;-47.51;Santalaceae;Phoradendron;anamariae;;Phoradendron anamariae;;;1;Thiago;24/02/14;;Phoradendron anamariae
53ceafe813864;;UFMS;CGMS;28791;;A. Pott;;2003;05;10;G.M. Silva;2008;10;23;Mato Grosso do Sul;Corumbá;Reserva Acurizal, Serra do Amolar, borda oeste do Pantanal.;-17.901111;-57.563333;Leguminosae;Bauhinia;leptantha;;Bauhinia leptantha;;;1;Thiago;17/04/14;;Bauhinia leptantha
53ceafe81394b;;UFBA;ALCB;65879;s.n.;Guedes, M.L.;;2004;4;3;Junqueira, M.E.R.;2008;11;10;Bahia;Piemonte da Diamantina;;-11.55;-41.15;Convolvulaceae;Evolvulus;gnaphalioides;;Evolvulus gnaphalioides;;Coletor;1;Marcelo;23/09/13;5 a 10Km;Evolvulus gnaphalioides
53ceafe813a42;;UFG;;19220;;Vaz, A.S.F.;;1996;10;12;Vaz, A.M.S.F.;1996;10;12;Goiás;Mossâmedes;Reserva Biológica da Serra Dourada;-16.1267;-50.215;Fabaceae/Leguminosae;Bauhinia;malacotrichoides;;Bauhinia malacotrichoides;;;1;Thiago;13/02/14;;Bauhinia malacotrichoides
53ceafe813b2b;;RB;;437886;;Fonseca, M.L.;;2004;4;17;Vaz, A.M.S.F.;2007;8;3;Goiás;Colinas do Sul;Estrada de chão entre Colinas do Sul e a Reserva Indígena Avá - Canoeiro;-13.8986111;-48.16;Fabaceae/Leguminosae;Bauhinia;malacotrichoides;;Bauhinia malacotrichoides;;;1;Thiago;13/02/14;;Bauhinia malacotrichoides
53ceafe813c14;;RB;;390748;;Silva, M.A.;;;;;Vaz, A.M.S.F.;2003;1;;Goiás;Cocalzinho de Goiás;Fazenda Bombaça;-15.7944;-48.7758;Fabaceae/Leguminosae;Bauhinia;malacotrichoides;;Bauhinia malacotrichoides;;;1;Thiago;13/02/14;;Bauhinia malacotrichoides
53ceafe813cfd;;MBML;MBML-HERBARIO;30336;4277;V. Demuner;<nO>Parasitando em Casearia frutos verdes (ÁLCOOL). Subida da cachoeira.</nO>;2007;6;14;L. Kollmann/19-12-2008;;;;Espírito Santo;Marilândia;Liberdade, propr.: Sônia (Reinaldo Bautz);-19.335556;-40.535556;Apodanthaceae;Apodanthes;minarum;;Apodanthes minarum;;Coletor;1;Marcelo;23/09/13;5 a 10Km;Apodanthes minarum
53ceafe813de6;;UEC;;24351;;"Duarte, M.M.; Assunpção, A.; Mattos, S.; Assunpção, A.; Mattos, S.";;1979;5;27;;;;;Mato Grosso;Cuiabá;Chapada dos Guimarães., Estrada do Véu de Noiva próximo a placa.;-15.5961;-56.0967;Fabaceae/Leguminosae;Chamaecrista;ochrosperma;;Chamaecrista ochrosperma;;;1;Marcelo;30/01/2014;;Chamaecrista ochrosperma
53ceafe813ed1;;MBML;MBML-HERBARIO;36495;10787;L. Kollmann;<nO>Planta andoparasita em Casearia. Botões até 30cm do solo, flores brancas, ovário laranjas. VIDE ÁLCOOL</nO>;2008;4;5;L. Kollmann/05-04-2008;;;;Espírito Santo;Cachoeiro de Itapemirim;Pacotuba, terreno do Calegario;-20.750556;-41.235556;Apodanthaceae;Apodanthes;minarum;;Apodanthes minarum;;Coletor;1;Marcelo;23/09/13;5 a 10Km;Apodanthes minarum
53ceafe813fb7;;HUEFS;;177344;;Lima, L.C.P.;;2009;4;21;;;;;Mato Grosso;Chapada dos Guimarães;, Parque Nacional da Chapada dos Guimarães;-15.3234952027;-55.8625;Fabaceae/Leguminosae;Desmodium;glabrescens;;Desmodium glabrescens;;;1;Thiago;10/03/14;;Desmodium glabrescens
53ceafe8140a3;;HUEFS;;194592;;Rocha, L.;;5;4;2013;;;;;Bahia;Licínio de Almeida;Pico da Serra do Salto;-14.757778;-42.458835;Turneraceae;Turnera;coccinea;;Turnera coccinea;;;1;Thiago;24/02/14;;Turnera coccinea
53ceafe81418b;;UFPI;TEPB;6709;;R.L. Loureiro - B.Ribeiro;<nO>AMB: Cerrado</nO>;;;;M. Simon;2013;6;17;Amapá;Mazagão;;-0.129898;-51.975939;Poaceae;Axonopus;aureus;;Axonopus aureus;;SIG;1;Thiago;23/09/13;Centroide de Municipio;Axonopus aureus
53ceafe814274;;NY;;960184;;Anderson, W. R.;;1975;2;23;;;;;Minas Gerais;Gouveia;Ascent of Serra do Espinhaço, on BR-259 Coordiantes represent a point on edge of Serra do Espinhaco between the collection points immediately before and after this one.;-18.6;-43.97;Fabaceae/Leguminosae;Chamaecrista;ixodes;;Chamaecrista ixodes;;;1;Thiago;17/04/14;;Chamaecrista ixodes
53ceafe81435d;;HUEFS;;100083;;Silva, G.P.;;1994;9;14;;;;;Minas Gerais;Diamantina;Rodovia Diamantina;-18.316667;-43.566667;Fabaceae/Leguminosae;Chamaecrista;gumminans;;Chamaecrista gumminans;;;1;Marcelo;22/01/14;;Chamaecrista gumminans
53ceafe814444;;HUEFS;;169930;;Souza, E.R.;;2009;12;12;;;;;Bahia;Mucugê;Abaíra- Catolés- subida para p Guada-Mor.;-13.0053;-41.3708;Fabaceae/Leguminosae;Calliandra;semisepulta;;Calliandra semisepulta;;;1;Marcelo;24/01/14;;Calliandra semisepulta
53ceafe814529;;HUEFS;;186928;;Rando, J.G.;;2011;10;24;;;;;Goiás;Alto Paraíso;Fazenda São Bento. Trilha para a Cachoeira Almécegas;-14.1325;-47.51;Fabaceae/Leguminosae;Chamaecrista;macedoi;;Chamaecrista macedoi;;;1;Marcelo;29/01/14;;Chamaecrista macedoi
53ceafe814614;;UFMG;BHCB;13428;14;Mendonça Filho, C.V.;<nO>Arbusto.</nO>;1988;6;28;;;;;Minas Gerais;Rio Acima;Mineração da MBR.;-20.084133;-43.765901;Verbenaceae;Stachytarpheta;ajugifolia;;Stachytarpheta ajugifolia;;SIG;1;Thiago;23/09/13;Centroide de Municipio;Stachytarpheta ajugifolia
53ceafe8147f4;;RB;;368067;;"Cordovil, S. P.; Santos, H. G. P. dos";;1993;6;22;Souza, V.C.;2009;8;5;Goiás;Corumbaíba;Margem esquerda do rio Corumbá, 1.5 km amontante do eixo da barragem próx. a foz do córrego Gameleira;-18.1425;-48.5614;Fabaceae/Leguminosae;Chamaecrista;geraldii;;Chamaecrista geraldii;;;1;Thiago;17/04/14;;Chamaecrista geraldii
53ceafe814b94;;HUEFS;;183906;;Conceição, A.A.;;2012;5;12;;2013;7;;Bahia;Mucugê;Serra do Miguel, Parque Nacional de Chapada Diamantina;-12.816667;-41.483333;Turneraceae;Turnera;luetzelburgii;Sleumer;Turnera luetzelburgii Sleumer;;;1;Thiago;17/04/14;;Turnera luetzelburgii
53ceafe814c87;;HUEFS;;194601;;Rocha, L.;;2013;4;6;;;;;Bahia;Licínio de Almeida;Trilha para o cachoeirão, próximo de uma casa de taipa;-14.6975;-42.555833;Turneraceae;Turnera;luetzelburgii;Sleumer;Turnera luetzelburgii Sleumer;;;1;Thiago;17/04/14;;Turnera luetzelburgii
53ceafe814d71;;HUEFS;;163767;;Melo, E.;;2010;5;22;;2011;4;;Bahia;São Desidério;Cerca de 6 Km da Ilha do Vitor;-12.658889;-45.055833;Fabaceae;Chamaecrista;coradinii;;Chamaecrista coradinii;;coletor;1;Thiago;27/11/13;5 a 10Km;Chamaecrista coradinii
53ceafe814f44;;NY;NYBG_BR;1018605;CFCR1240;A. M. Giulietti;<nO><a href='http://sweetgum.nybg.org/vh/specimen.php?irn=1261285'>more info</a></nO>;1981;7;18;S. Atkins;2004;;;Bahia;;Estrada Ituaçu - Barra da Estaiva, a 12 km de Barra da Estiva, próximo ao Morro do Ouro.;-13.581801;-41.131719;Verbenaceae;Stachytarpheta;lychnitis;;Stachytarpheta lychnitis;;SIG;1;Thiago;23/09/13;Centroide de Municipio;Stachytarpheta lychnitis
53ceafe81502a;;MO;MOBOT_BR;2897372;47883;G. Hatschbach;;;;;H.N. Moldenke,;;;;Bahia;;Barra da Estiva, rod. p/ Ituaçu.;-13.581801;-41.131719;Verbenaceae;Stachytarpheta;lychnitis;;Stachytarpheta lychnitis;;SIG;1;Thiago;23/09/13;Centroide de Municipio;Stachytarpheta lychnitis
53ceafe815116;;US;NMNH-BOTANY_BR;2706157.2123688;;G. Hatschbach;;1972;8;9;;;;;Minas Gerais;;Sao Antonio de Itambe.;-18.455626;-43.266488;Verbenaceae;Stachytarpheta;lacunosa;;Stachytarpheta lacunosa;;SIG;1;Thiago;23/09/13;Centroide de Municipio;Stachytarpheta lacunosa
53ceafe815200;;UNICAMP;UEC;26992;18979;Harley, R.M.;"<nO>Prostate herb with stems spreading from central tap root, to 50 cm long, usually much less. Leaves silvery-grey. Corolla blue with whitish centre. Stemens white.; Cerrado on shallow rocky soils.</nO>";1977;2;24;;;;;Bahia;Santo Inácio;1.5 Km S. of São Inácio on Gentio do Ouro road.;-12.166667;-42.733333;Convolvulaceae;Evolvulus;gnaphalioides;;Evolvulus gnaphalioides;;Coletor;1;Marcelo;23/09/13;5 a 10Km;Evolvulus gnaphalioides
53ceafe8152e4;Cuatrecasas, 1959;R;"United states National Museum; Los Angeles County Museum";;14465;E. Yale Dawson;"United states National Museum; Los Angeles County Museum";;4;20;;;4;;Goiás;Chapada dos Veadeiros;20, 5 km ao Norte de São João D´Aliança, na região da Chapada dos Veadeiros;-14.5;-47.5;BURSERACEAE;Protium;dawsonii;;Protium dawsonii;;;1;Thiago;17/04/14;;Protium dawsonii
53ceafe8153cd;;INPA;INPA-HERBARIO;24631;7832;"Prance, G.T.; Coêlho, D.F. & Ramos, J.F.";<nO>Parasite, corolla green, tinted in bud. Forest on terra firme.</nO>;1968;1;1;Tun, J.;2004;1;1;Acre;Sena Madureira;East of Rio Iaco, 10 km above Sena Madureira;-9.800229;-69.406627;Loranthaceae;Psittacanthus;corynocephalus;;Psittacanthus corynocephalus;;SIG;1;Thiago;23/09/13;Centroide de Municipio;Psittacanthus acinarius
53ceafe8154b8;;UB;;32443;;Dambrós, L.A.;;;;;;;;;Distrito Federal;;Parque Nacional de Brasília Distrito Federal;-15.6;-48.033333;Fabaceae;Chamaecrista;pachyclada;;Chamaecrista pachyclada;;coletor;1;Thiago;27/11/13;5 a 10Km;Chamaecrista pachyclada
53ceafe8155a0;;UFJF;CESJ;29965;74-7618;Andrade-Lima;;1974;5;25;;;;;Bahia;Senhor do Bonfim;;-10.460119;-40.099657;Verbenaceae;Lippia;lasiocalycina;;Lippia lasiocalycina;;SIG;1;Thiago;23/09/13;Centroide de Municipio;Lippia lasiocalycina
